id_logradouro,logradouro,tipo_abrev,tipo,titulo_abrev,titulo,preposicao,nome
043192,TRAVESSA PADRE MARIANO DE LA MATA,TV,TRAVESSA,PDE,PADRE,,MARIANO DE LA MATA
304727,RUA PADRE PEDRO DE PEDROSA,R,RUA,PDE,PADRE,,PEDRO DE PEDROSA
420964,RUA PADRE ALDO LAMPETTI,R,RUA,PDE,PADRE,,ALDO LAMPETTI
048909,RUA PADRE CHICO,R,RUA,PDE,PADRE,,CHICO
156710,AVENIDA PADRE GREGORIO MAFRA,AV,AVENIDA,PDE,PADRE,,GREGORIO MAFRA
117536,RUA PADRE LEONEL FRANCA,R,RUA,PDE,PADRE,,LEONEL FRANCA
112356,RUA PADRE MARCOS SIMONI,R,RUA,PDE,PADRE,,MARCOS SIMONI
121592,RUA PADRE LUIS ALVES DE SIQUEIRA,R,RUA,PDE,PADRE,,LUIS ALVES DE SIQUEIRA
279854,RUA PADRE JOSE ALLAMANO,R,RUA,PDE,PADRE,,JOSE ALLAMANO
110639,AVENIDA PADRE JOSE MARIA,AV,AVENIDA,PDE,PADRE,,JOSE MARIA
NA,RUA PADRE LORETO COUTO,R,RUA,PDE,PADRE,,LORETO COUTO
218570,PRACA PADRE ARNALDO,PC,PRACA,PDE,PADRE,,ARNALDO
669512,RUA PADRE JOSE SEBASTIAO,R,RUA,PDE,PADRE,,JOSE SEBASTIAO
127833,RUA PADRE MANUEL BERNARDES,R,RUA,PDE,PADRE,,MANUEL BERNARDES
056820,PRACA PADRE DAMIAO,PC,PRACA,PDE,PADRE,,DAMIAO
312924,RUA PADRE JOSIMO MORAIS TAVARES,R,RUA,PDE,PADRE,,JOSIMO MORAIS TAVARES
442372,PRACA PADRE CHARBONNEAU,PC,PRACA,PDE,PADRE,,CHARBONNEAU
797685,PRACA PADRE XAVIER FERREIRA,PC,PRACA,PDE,PADRE,,XAVIER FERREIRA
117315,RUA PADRE LEONARDO,R,RUA,PDE,PADRE,,LEONARDO
143138,RUA PADRE ARTUR SOMENSI,R,RUA,PDE,PADRE,,ARTUR SOMENSI
630888,RUA PADRE LUIS DE SIQUEIRA,R,RUA,PDE,PADRE,,LUIS DE SIQUEIRA
457701,RUA PADRE FRANCISCO VELOSO,R,RUA,PDE,PADRE,,FRANCISCO VELOSO
025445,RUA PADRE AUGUSTO LOMBARDI,R,RUA,PDE,PADRE,,AUGUSTO LOMBARDI
661619,RUA PADRE JUSTINO,R,RUA,PDE,PADRE,,JUSTINO
032077,PRACA PADRE BENTO,PC,PRACA,PDE,PADRE,,BENTO
664200,RUA PADRE MARCELINO DUARTE,R,RUA,PDE,PADRE,,MARCELINO DUARTE
397725,RUA PADRE JUAN DE SOLORZANO,R,RUA,PDE,PADRE,,JUAN DE SOLORZANO
698970,RUA PADRE NILDO DO AMARAL JUNIOR,R,RUA,PDE,PADRE,,NILDO DO AMARAL JUNIOR
499870,RUA PADRE IVO PAOLINI,R,RUA,PDE,PADRE,,IVO PAOLINI
050245,RUA PADRE CLARO,R,RUA,PDE,PADRE,,CLARO
050873,RUA PADRE CLEMENTE SEGURA,R,RUA,PDE,PADRE,,CLEMENTE SEGURA
160822,AVENIDA PADRE PEREIRA DE ANDRADE,AV,AVENIDA,PDE,PADRE,,PEREIRA DE ANDRADE
122475,RUA PADRE LUIS GONZAGA,R,RUA,PDE,PADRE,,LUIS GONZAGA
159786,RUA PADRE PEDRO ROTA,R,RUA,PDE,PADRE,,PEDRO ROTA
101346,RUA PADRE JOAO ANTONIO ANDREONI,R,RUA,PDE,PADRE,,JOAO ANTONIO ANDREONI
133841,RUA PADRE MARIANO RONCHI,R,RUA,PDE,PADRE,,MARIANO RONCHI
431460,PRACA PADRE GREGORIO WESTRUPP,PC,PRACA,PDE,PADRE,,GREGORIO WESTRUPP
212652,RUA PADRE ARISTIDES GREVE,R,RUA,PDE,PADRE,,ARISTIDES GREVE
214060,RUA PADRE PEDRO MAGNONI,R,RUA,PDE,PADRE,,PEDRO MAGNONI
740705,RUA PADRE FRANCISCO LIBERMANN,R,RUA,PDE,PADRE,,FRANCISCO LIBERMANN
101001,RUA PADRE JOAO,R,RUA,PDE,PADRE,,JOAO
014737,RUA PADRE ANTAO JORGE,R,RUA,PDE,PADRE,,ANTAO JORGE
025089,RUA PADRE AGOSTINHO JORGE,R,RUA,PDE,PADRE,,AGOSTINHO JORGE
016861,RUA PADRE ANTONIO DE SA,R,RUA,PDE,PADRE,,ANTONIO DE SA
198811,RUA PADRE MANUEL LUIS DE VERGUEIRO,R,RUA,PDE,PADRE,,MANUEL LUIS DE VERGUEIRO
303178,RUA PADRE GONCALO LEITE,R,RUA,PDE,PADRE,,GONCALO LEITE
050970,RUA PADRE CLETUS COX,R,RUA,PDE,PADRE,,CLETUS COX
107093,RUA PADRE ANTONIO DE GOUVEIA,R,RUA,PDE,PADRE,,ANTONIO DE GOUVEIA
480231,PRACA PADRE RICARDO MENDES TAHAN,PC,PRACA,PDE,PADRE,,RICARDO MENDES TAHAN
139556,RUA PADRE MIGUELINHO,R,RUA,PDE,PADRE,,MIGUELINHO
361690,RUA PADRE JOSE VIEIRA DE MATOS,R,RUA,PDE,PADRE,,JOSE VIEIRA DE MATOS
337501,RUA PADRE MACHADO,R,RUA,PDE,PADRE,,MACHADO
017680,RUA PADRE ANTONIO LINK,R,RUA,PDE,PADRE,,ANTONIO LINK
161160,LARGO PADRE PERICLES,LG,LARGO,PDE,PADRE,,PERICLES
180084,RUA PADRE SERAFIM LEITE,R,RUA,PDE,PADRE,,SERAFIM LEITE
343188,RUA PADRE ANDRE DE ALMEIDA,R,RUA,PDE,PADRE,,ANDRE DE ALMEIDA
103241,RUA PADRE JOAO GUALBERTO,R,RUA,PDE,PADRE,,JOAO GUALBERTO
NA,RUA PADRE BARTOLOMEU DE GUSMAO,R,RUA,PDE,PADRE,,BARTOLOMEU DE GUSMAO
116874,AVENIDA PADRE LEBRET,AV,AVENIDA,PDE,PADRE,,LEBRET
119016,PRACA PADRE LINDOLFO ESTEVES,PC,PRACA,PDE,PADRE,,LINDOLFO ESTEVES
361739,AVENIDA PADRE ESTANISLAU DE CAMPOS,AV,AVENIDA,PDE,PADRE,,ESTANISLAU DE CAMPOS
600067,RUA PADRE ACHILLES SILVESTRE,R,RUA,PDE,PADRE,,ACHILLES SILVESTRE
022233,AVENIDA PADRE ARLINDO VIEIRA,AV,AVENIDA,PDE,PADRE,,ARLINDO VIEIRA
343277,RUA PADRE LUIS VILARES,R,RUA,PDE,PADRE,,LUIS VILARES
455628,PRACA PADRE AGENOR CARDIM,PC,PRACA,PDE,PADRE,,AGENOR CARDIM
123056,RUA PADRE LUIS SORIANO,R,RUA,PDE,PADRE,,LUIS SORIANO
032930,RUA PADRE BERNARDO BERGEN,R,RUA,PDE,PADRE,,BERNARDO BERGEN
299928,RUA PADRE JOAO DA CUNHA,R,RUA,PDE,PADRE,,JOAO DA CUNHA
168742,RUA PADRE RAPOSO,R,RUA,PDE,PADRE,,RAPOSO
211036,RUA PADRE JOSE MATERNI,R,RUA,PDE,PADRE,,JOSE MATERNI
001856,RUA PADRE ADELINO,R,RUA,PDE,PADRE,,ADELINO
NA,VIELA PADRE CICERO,VE,VIELA,PDE,PADRE,,CICERO
473677,RUA PADRE ALDEMAR MOREIRA,R,RUA,PDE,PADRE,,ALDEMAR MOREIRA
342173,RUA PADRE NELSON CRISTINI,R,RUA,PDE,PADRE,,NELSON CRISTINI
301760,RUA PADRE JORGE BENCI,R,RUA,PDE,PADRE,,JORGE BENCI
064637,RUA PADRE EMILIO MIOTTI,R,RUA,PDE,PADRE,,EMILIO MIOTTI
066796,RUA PADRE ESTEVAO PERNET,R,RUA,PDE,PADRE,,ESTEVAO PERNET
212660,RUA PADRE PAULO CANELLES,R,RUA,PDE,PADRE,,PAULO CANELLES
361577,RUA PADRE JOAO DE SALES,R,RUA,PDE,PADRE,,JOAO DE SALES
197440,RUA PADRE VIEGAS DE MENEZES,R,RUA,PDE,PADRE,,VIEGAS DE MENEZES
361526,RUA PADRE FRANCISCO DE MOURA ROLIM,R,RUA,PDE,PADRE,,FRANCISCO DE MOURA ROLIM
102040,RUA PADRE JOAO CASTELAR PADIM,R,RUA,PDE,PADRE,,JOAO CASTELAR PADIM
103195,RUA PADRE JOAO GONCALVES,R,RUA,PDE,PADRE,,JOAO GONCALVES
799025,RUA PADRE NARCISO CASANOVA,R,RUA,PDE,PADRE,,NARCISO CASANOVA
054208,RUA PADRE COSTA,R,RUA,PDE,PADRE,,COSTA
039063,RUA PADRE CALDAS BARBOSA,R,RUA,PDE,PADRE,,CALDAS BARBOSA
343102,RUA PADRE MARIANO RINALDI,R,RUA,PDE,PADRE,,MARIANO RINALDI
128880,RUA PADRE MARCEL CUTSEM,R,RUA,PDE,PADRE,,MARCEL CUTSEM
NA,RUA PADRE TOMAZ JOSEPH SHEA,R,RUA,PDE,PADRE,,TOMAZ JOSEPH SHEA
012432,RUA PADRE JOSE DE ANCHIETA,R,RUA,PDE,PADRE,,JOSE DE ANCHIETA
778168,RUA PADRE MIGUEL LUIS TEIXEIRA,R,RUA,PDE,PADRE,,MIGUEL LUIS TEIXEIRA
109835,RUA PADRE JOSE GARZOTTI,R,RUA,PDE,PADRE,,JOSE GARZOTTI
796018,RUA PADRE MANUEL GABINO DE CARVALHO,R,RUA,PDE,PADRE,,MANUEL GABINO DE CARVALHO
NA,RUA PADRE RENATO,R,RUA,PDE,PADRE,,RENATO
101338,RUA PADRE JOAO ANTONIO,R,RUA,PDE,PADRE,,JOAO ANTONIO
120120,AVENIDA PADRE LOURENCO,AV,AVENIDA,PDE,PADRE,,LOURENCO
142794,RUA PADRE MOURA,R,RUA,PDE,PADRE,,MOURA
108111,RUA PADRE JOSE BLASCO,R,RUA,PDE,PADRE,,JOSE BLASCO
650706,RUA PADRE SIMAO MAZZETA,R,RUA,PDE,PADRE,,SIMAO MAZZETA
302740,RUA PADRE JACOME DE QUEIROZ,R,RUA,PDE,PADRE,,JACOME DE QUEIROZ
013110,RUA PADRE ANDRE DUGUET,R,RUA,PDE,PADRE,,ANDRE DUGUET
022810,RUA PADRE ARNALDO PEREIRA,R,RUA,PDE,PADRE,,ARNALDO PEREIRA
103624,RUA PADRE JOAO MANUEL,R,RUA,PDE,PADRE,,JOAO MANUEL
