id_osm,intersec,radar_proximo
4273875,3,FALSE
4273889,1,FALSE
4312745,NA,FALSE
4312746,NA,FALSE
4317930,NA,FALSE
4317932,NA,FALSE
4317933,NA,TRUE
4317934,2,FALSE
4317937,NA,FALSE
4317940,2,FALSE
4317941,NA,FALSE
4317942,6,FALSE
4317950,1,FALSE
4317951,1,FALSE
4327289,1,FALSE
4327290,NA,FALSE
4327786,NA,FALSE
4327787,NA,FALSE
4327793,2,FALSE
4327797,NA,FALSE
4327799,NA,FALSE
4327801,2,FALSE
4327802,5,TRUE
4327803,NA,FALSE
4327804,NA,FALSE
4327805,NA,FALSE
4327806,8,FALSE
4328294,NA,FALSE
4328295,NA,FALSE
4328296,NA,FALSE
4328318,1,TRUE
4328340,2,FALSE
4328342,NA,FALSE
4328359,NA,FALSE
4328397,2,FALSE
4328434,1,FALSE
4328485,1,FALSE
4328496,NA,FALSE
4328497,NA,FALSE
4328498,NA,FALSE
4328510,NA,FALSE
4328523,NA,FALSE
4328525,NA,TRUE
4328528,NA,FALSE
4328530,NA,FALSE
4328536,NA,FALSE
4328537,NA,FALSE
4328541,NA,TRUE
4328543,NA,FALSE
4328544,NA,FALSE
4328546,3,FALSE
4328547,NA,FALSE
4328548,NA,FALSE
4328549,1,TRUE
4328552,NA,FALSE
4330573,2,FALSE
4330708,4,FALSE
4330716,NA,FALSE
4330744,NA,FALSE
4331290,NA,FALSE
4331291,NA,FALSE
4331292,NA,FALSE
4331293,NA,FALSE
4331295,NA,FALSE
4331296,NA,FALSE
4331361,1,TRUE
4331371,NA,FALSE
4331374,4,FALSE
4331384,5,FALSE
4331461,1,FALSE
4331470,1,FALSE
4331474,1,FALSE
4331475,1,FALSE
4331477,3,TRUE
4331478,NA,FALSE
4331479,NA,FALSE
4331480,1,FALSE
4331531,2,TRUE
4331532,1,TRUE
4331533,NA,FALSE
4331534,NA,FALSE
4331536,NA,FALSE
4331539,NA,FALSE
4331570,2,FALSE
4331576,2,TRUE
4331577,5,FALSE
4331578,NA,FALSE
4331584,1,FALSE
4331588,3,FALSE
4335723,NA,FALSE
4335750,2,FALSE
4335751,3,TRUE
4335758,3,FALSE
4335774,NA,FALSE
4363056,4,FALSE
4363057,NA,TRUE
4363081,4,FALSE
4363082,NA,FALSE
4363151,NA,FALSE
4363152,4,TRUE
4363154,NA,FALSE
4363158,NA,FALSE
4363167,NA,FALSE
4363175,NA,FALSE
4363184,NA,FALSE
4363187,7,FALSE
4363190,NA,FALSE
4363218,2,TRUE
4393531,5,FALSE
4393532,7,FALSE
4393533,4,FALSE
4393535,2,FALSE
4393537,2,FALSE
4523223,4,FALSE
4523238,4,FALSE
4534444,NA,FALSE
4534456,2,FALSE
4534584,2,FALSE
4534639,NA,FALSE
4558786,12,TRUE
4558848,8,FALSE
4558901,5,FALSE
4558905,2,FALSE
4558906,2,FALSE
4559005,2,FALSE
4559007,3,FALSE
4559074,NA,FALSE
4559084,NA,FALSE
4559085,NA,FALSE
4559087,4,FALSE
4559114,5,FALSE
4559118,3,FALSE
4559381,3,FALSE
4560178,5,FALSE
4560180,NA,FALSE
4560295,NA,FALSE
4560301,NA,FALSE
4560302,NA,FALSE
4560505,2,FALSE
4560525,5,TRUE
4560597,NA,FALSE
4560598,NA,FALSE
4560601,4,FALSE
4560602,NA,FALSE
4567096,2,TRUE
4567097,4,TRUE
4567103,4,FALSE
4567105,3,FALSE
4584634,5,FALSE
4584638,2,FALSE
4584639,2,FALSE
4584640,2,FALSE
4584641,3,FALSE
4584651,5,FALSE
4584654,2,FALSE
4584668,NA,FALSE
4584669,2,FALSE
4584671,NA,FALSE
4587261,1,FALSE
4588323,NA,FALSE
4588379,1,FALSE
4588380,2,TRUE
4588381,4,FALSE
4588382,NA,FALSE
4588387,NA,FALSE
4588388,NA,FALSE
4588389,NA,FALSE
4591331,NA,FALSE
4591371,1,FALSE
4591372,1,FALSE
4591373,7,TRUE
4591374,1,FALSE
4591423,NA,FALSE
4591424,2,FALSE
4591425,2,FALSE
4591428,2,FALSE
4591503,2,FALSE
4592810,2,FALSE
4594903,2,FALSE
4614689,NA,FALSE
4614748,1,FALSE
4614749,4,FALSE
4614750,NA,FALSE
4614751,2,FALSE
4614752,2,FALSE
4614753,2,FALSE
4614754,NA,FALSE
4614755,NA,FALSE
4614767,4,FALSE
4614770,NA,FALSE
4614771,2,FALSE
4614772,NA,FALSE
4614787,NA,FALSE
4614788,2,FALSE
4614818,NA,FALSE
4614819,NA,FALSE
4614820,NA,FALSE
4614822,NA,FALSE
4614824,2,FALSE
4614826,NA,TRUE
4614827,NA,TRUE
4614828,NA,TRUE
4614829,NA,TRUE
4614832,NA,TRUE
4614849,NA,FALSE
4614852,2,FALSE
4614856,2,FALSE
4614857,NA,FALSE
4614874,1,FALSE
4614875,NA,TRUE
4614876,2,TRUE
4614877,3,FALSE
4614878,2,FALSE
4614911,2,FALSE
4614912,4,TRUE
4614914,3,FALSE
4614918,2,TRUE
4614919,3,TRUE
4614927,1,FALSE
4614929,2,FALSE
4615019,NA,TRUE
4615020,NA,FALSE
4615022,2,FALSE
4615024,2,TRUE
4615025,2,FALSE
4615026,1,FALSE
4615027,NA,FALSE
4617432,6,FALSE
4617485,NA,FALSE
4618747,1,FALSE
4618750,NA,TRUE
4618755,NA,FALSE
4618756,1,FALSE
4618757,2,FALSE
4618805,NA,FALSE
4618889,1,FALSE
4618932,NA,FALSE
4618934,NA,FALSE
4624313,NA,FALSE
4624352,NA,FALSE
4624557,3,TRUE
4624561,NA,FALSE
4626465,7,FALSE
4626470,2,FALSE
4626488,2,FALSE
4626507,NA,FALSE
4626526,NA,FALSE
4626531,NA,FALSE
4626534,NA,FALSE
4626546,NA,FALSE
4626637,NA,FALSE
4626660,1,FALSE
4626675,NA,FALSE
4626679,NA,FALSE
4626684,2,FALSE
4626687,NA,FALSE
4626699,NA,FALSE
4626755,1,FALSE
4629473,2,FALSE
4629474,NA,FALSE
4629513,NA,FALSE
4629565,5,FALSE
4629938,4,FALSE
4629939,4,FALSE
4629943,NA,FALSE
4629979,1,FALSE
4629983,2,FALSE
4636285,4,TRUE
4636287,4,FALSE
4684933,NA,FALSE
4684974,2,FALSE
4684982,3,FALSE
4685045,4,FALSE
4685053,7,TRUE
4685069,2,FALSE
4685074,5,FALSE
4685094,5,FALSE
4685095,1,FALSE
4708274,NA,FALSE
4708275,7,TRUE
4708294,11,FALSE
4708389,2,FALSE
4708390,4,FALSE
4708393,3,FALSE
4708394,4,FALSE
4708402,NA,FALSE
4708403,NA,FALSE
4708404,2,FALSE
4708405,5,FALSE
4708406,3,FALSE
4708407,3,FALSE
4708408,3,FALSE
4708438,NA,FALSE
4708439,NA,FALSE
4708541,8,FALSE
