ano,mes,tipo_veiculo,frota
2016,12,outros,627
2016,12,reboque,48812
2016,11,caminhao,127302
2016,12,camioneta,422974
2016,11,camioneta,422092
2016,11,ciclomotor,3484
2016,12,quadriciclo,21
2003,5,bonde,17
2003,5,caminhao,115372
2003,6,caminhao,115552
2003,6,motoneta,45724
2003,4,motoneta,45191
2003,6,automovel,3315978
2003,4,trator esteira,4
2004,2,outros,280
2004,2,motoneta,47435
2004,2,side-car,62
2004,1,automovel,3378977
2004,1,motocicleta,289673
2010,1,bonde,13
2010,2,motoneta,87019
2019,12,semi-reboque,39890
2019,12,trator esteira,5
2018,9,caminhao,131726
2018,9,ciclomotor,3981
2018,9,utilitario,129218
2006,12,triciclo,205
2006,12,caminhao trator,14645
2003,12,outros,280
2003,11,micro-onibus,26979
2010,12,onibus,39397
2010,12,ciclomotor,2547
2010,12,utilitario,43395
2008,9,onibus,39035
2008,9,caminhao,134521
2008,7,motoneta,73954
2008,7,side-car,85
2008,9,side-car,86
2008,7,triciclo,285
2008,9,caminhonete,305426
2008,9,chassi plataforma,698
2016,9,bonde,8
2016,9,outros,606
2016,9,motoneta,144152
2016,10,automovel,5429039
2016,10,camioneta,420851
2016,9,utilitario,105850
2016,10,micro-onibus,37902
2012,2,outros,280
2012,1,reboque,42149
2012,2,triciclo,660
2012,1,ciclomotor,2641
2012,1,trator rodas,2837
2022,11,caminhao,143934
2022,12,side-car,93
2022,12,triciclo,1686
2022,11,motocicleta,1155302
2022,11,trator rodas,3631
2014,8,outros,422
2014,8,caminhao,117957
2014,9,ciclomotor,3048
2014,7,utilitario,81298
2014,8,caminhao trator,20137
2003,3,ciclomotor,2203
2003,3,semi-reboque,18760
2003,3,trator esteira,4
2005,3,reboque,34737
2005,3,utilitario,6197
2005,3,caminhao trator,13013
2020,4,bonde,8
2020,3,onibus,47922
2020,4,outros,876
2020,2,automovel,5892972
2020,2,utilitario,153347
2020,3,semi-reboque,40395
2020,3,trator rodas,3371
2011,4,bonde,10
2011,2,caminhao,127652
2011,4,utilitario,46432
2011,4,motocicleta,720099
2004,11,caminhao,118596
2004,10,side-car,66
2004,12,triciclo,179
2004,11,camioneta,311089
2004,11,quadriciclo,25
2004,11,caminhao trator,12701
2004,12,caminhao trator,12778
2023,11,reboque,64285
2023,11,triciclo,1710
2023,9,motocicleta,1220076
2023,9,caminhao trator,36292
2023,10,chassi plataforma,200
2008,3,side-car,82
2008,2,triciclo,230
2008,3,camioneta,287897
2008,3,motocicleta,529737
2008,3,caminhao trator,16139
2008,5,onibus,38524
2008,4,trator esteira,7
2008,6,caminhao trator,16574
2023,6,caminhonete,577489
2023,7,motocicleta,1210083
2023,8,chassi plataforma,200
2012,10,reboque,43050
2012,12,automovel,4839921
2012,10,camioneta,329419
2012,10,ciclomotor,2750
2012,12,caminhonete,383184
2012,11,quadriciclo,22
2012,10,micro-onibus,32379
2012,12,trator esteira,4
2012,10,caminhao trator,18801
2004,9,automovel,3459743
2004,8,utilitario,4873
2004,7,caminhonete,121561
2004,7,motocicleta,305086
2004,8,motocicleta,308004
2004,7,semi-reboque,19778
2004,9,trator rodas,1542
2004,8,chassi plataforma,684
2004,7,chassi plataforma,677
2004,9,chassi plataforma,684
2008,12,triciclo,326
2008,11,triciclo,310
2008,11,automovel,4243914
2008,11,camioneta,243276
2008,10,motocicleta,590579
2008,12,quadriciclo,24
2008,12,semi-reboque,26890
2007,12,reboque,37242
2007,9,reboque,36894
2007,10,caminhao,128355
2007,12,triciclo,231
2007,9,triciclo,214
2007,10,triciclo,216
2007,11,automovel,3997138
2007,12,automovel,4009301
2007,9,camioneta,291502
2007,10,camioneta,289855
2007,9,caminhonete,210609
2007,9,quadriciclo,24
2007,12,quadriciclo,24
2007,12,semi-reboque,25134
2007,12,trator esteira,7
2007,12,caminhao trator,15853
2021,4,onibus,49652
2021,4,camioneta,495988
2021,3,camioneta,495270
2021,3,motocicleta,1061160
2021,1,quadriciclo,44
2021,3,micro-onibus,40827
2021,3,semi-reboque,42506
2021,10,bonde,8
2021,9,outros,920
2021,10,reboque,58584
2021,11,side-car,93
2021,10,semi-reboque,44251
2021,11,chassi plataforma,200
