data,logradouro,veiculo,latitude,longitude
2024-03-31,SP 150,MOTOCICLETA,-23.626990324283,-46.5984329237988
2024-03-31,RUA ESTADO DO CEARA,MOTOCICLETA,-23.588934033435127,-46.49560641367758
2024-03-31,AVENIDA SALIM FARAH MALUF,AUTOMOVEL,-23.54559317608083,-46.57949978099229
2024-03-31,ESTRADA DA BARONESA,MOTOCICLETA,-23.720407,-46.7791131
2024-03-11,RUA SOLIDONIO LEITE,MOTOCICLETA,-23.5870982,-46.5335759
2024-03-31,AVENIDA VEREADOR JOSE DINIZ,AUTOMOVEL,-23.6408327,-46.6975064
2024-03-27,ESTRADA IGUATEMI,MOTOCICLETA,-23.574947359781575,-46.416008312805374
2024-03-29,AVENIDA RODOLFO PIRANI,PEDESTRE,-23.62747244302236,-46.46218062640585
2024-03-19,AVENIDA WHASHINGTON LUIZ,PEDESTRE,NA,NA
2024-02-20,NAO DISPONIVEL,PEDESTRE,NA,NA
2024-03-28,RUA DOUTOR LUIS AIRES,PEDESTRE,-23.53165215915561,-46.5014225288216
2024-03-27,AVENIDA MOREIRA GUIMARAES,MOTOCICLETA,-23.6112959,-46.6560036
2024-03-27,AVENIDA FIORELLI PECCICACCO,PEDESTRE,-23.404744716712056,-46.738513047239095
2024-03-27,RUA COSTA BARROS,MOTOCICLETA,-23.596482,-46.5589628
2024-03-22,RUA MAURO,PEDESTRE,-23.6188747,-46.6412346
2024-03-26,AVENIDA BRASIL,MOTOCICLETA,-23.579061423135663,-46.661442065385444
2024-03-22,ACESSO AVENIDA ARICANDUVA,AUTOMOVEL,-23.5380454,-46.5459988
2024-03-25,RUA ANNY,PEDESTRE,-23.6203438,-46.5855454
2024-03-25,NAO DISPONIVEL,MOTOCICLETA,NA,NA
2024-03-20,NAO DISPONIVEL,PEDESTRE,NA,NA
2024-03-25,AVENIDA VINTE E TRES DE MAIO,MOTOCICLETA,-23.574771,-46.6413153
2024-03-20,AVENIDA DOUTOR SYLVIO DE CAMPOS,PEDESTRE,-23.4068874,-46.7607832
2024-03-20,BR 381,BICICLETA,NA,NA
2023-09-17,ESTRADA DO JACEGUAVA,ONIBUS,-23.788317639333226,-46.76661252883609
2024-03-22,BR 381,PEDESTRE,-23.4493007955407,-46.5695643361407
2024-03-22,ACESSO AVENIDA DONA BELMIRA MARIN,PEDESTRE,-23.753079,-46.688832
2024-03-22,AVENIDA SAPOPEMBA,PEDESTRE,-23.6007433,-46.5123681
2024-03-21,RUA IRMA EMERENCIANA,MOTOCICLETA,-23.459946,-46.580977
2024-03-21,RUA JOAQUIM OLIVEIRA FREITAS,MOTOCICLETA,-23.488283,-46.741187
2024-03-20,AVENIDA MORUMBI,PEDESTRE,-23.602682196619362,-46.71201808844723
2024-03-15,RUA MAJOR LUCIO DIAS RAMOS,PEDESTRE,-23.763204316733038,-46.69595187668007
2024-03-15,NAO DISPONIVEL,PEDESTRE,NA,NA
2024-03-19,AVENIDA DO RIO BONITO,MOTOCICLETA,-23.69505,-46.701634
2023-09-03,AVENIDA DONA BELMIRA MARIN,PEDESTRE,-23.754813,-46.6754539
2024-03-19,AVENIDA MAZZEI,BICICLETA,-23.477603,-46.605659
2024-03-18,SP 270,MOTOCICLETA,-23.5721791214224,-46.7027209153521
2024-03-18,PONTE VITORINO GOULART DA SILVA,PEDESTRE,-23.7002657,-46.6847227
2024-03-18,AVENIDA PROFESSOR HERMOGENES DE FREITAS LEITAO FILHO,MOTOCICLETA,-23.791625,-46.714056
2024-03-18,RUA SIMAO DE TOLEDO CASTELHANOS,AUTOMOVEL,-23.485026,-46.681311
2024-03-17,AVENIDA PARANAGUA,PEDESTRE,-23.493150552831853,-46.47871495518792
2024-03-04,AVENIDA DOM RODRIGO SANCHES,MOTOCICLETA,NA,NA
2024-02-26,AVENIDA DAS NACOES UNIDAS,MOTOCICLETA,-23.607477,-46.697224
2024-03-17,AVENIDA FRANCESCO BIBIENA,MOTOCICLETA,-23.647497240340744,-46.593064685569466
2024-03-17,RUA MANOEL DE LIMA,MOTOCICLETA,-23.735611385654657,-46.70512476302166
2024-03-17,AVENIDA ARICANDUVA,MOTOCICLETA,NA,NA
2024-03-17,PRACA SANTISSIMA TRINDADE,MOTOCICLETA,-23.48643812805786,-46.66357305797537
2024-03-17,AVENIDA CONDE DE FRONTIN,MOTOCICLETA,-23.534607,-46.545936
2024-03-15,RUA CARDEAL ARCOVERDE,BICICLETA,-23.5678086,-46.6949005
2024-03-15,ESTRADA DA COLONIA MARIO REIMBERG CHRISTE,PEDESTRE,-23.828734323396116,-46.72483935100157
2024-03-08,RUA BENJAMIN PEREIRA,BICICLETA,-23.4646115,-46.5835479
2024-03-13,AVENIDA ATLANTICA,MOTOCICLETA,-23.67429725416886,-46.71245136870745
2024-03-11,AVENIDA RAGUEB CHOHFI,MOTOCICLETA,-23.594060684799015,-46.4221679109162
2024-03-10,TRAVESSA DOS COLONOS,BICICLETA,-23.665495,-46.634801
2024-03-10,AVENIDA ARICANDUVA,MOTOCICLETA,-23.537976,-46.5456784
2024-03-10,AVENIDA RAGUEB CHOHFI,PEDESTRE,-23.59695036994371,-46.45682978503151
2024-02-06,RUA CAUABURI,PEDESTRE,-23.6257806,-46.7521332
2024-03-10,RUA DOM VILARES,MOTOCICLETA,-23.6245329,-46.6080156
2024-03-10,AVENIDA CELSO GARCIA,MOTOCICLETA,-23.5326423,-46.5664748
2024-03-09,BR 381,MOTOCICLETA,-23.455634,-46.571096
2024-03-09,SP 070,MOTOCICLETA,-23.4824620279347,-46.5037051061918
2024-03-09,AVENIDA IPIRANGA,PEDESTRE,-23.540707176482705,-46.638024092941805
2024-03-09,RUA PROFESSOR LEITAO DA CUNHA,PEDESTRE,-23.636516,-46.751525
2024-03-09,AVENIDA FRANCISCO VIEIRA BUENO,PEDESTRE,-23.591492,-46.529141
2024-03-09,AVENIDA DO ESTADO,MOTOCICLETA,-23.55719332327573,-46.62021448642293
2024-03-08,AVENIDA YERVANT KISSAJIKIAN,BICICLETA,NA,NA
2024-03-07,BR 381,PEDESTRE,-23.4408357187525,-46.5678558373791
2024-03-07,PRACA SALIM FARAH MALUF,PEDESTRE,-23.650021455511396,-46.70775037186451
2024-02-07,NAO DISPONIVEL,NAO DISPONIVEL,NA,NA
2024-03-07,ESTRADA DE ITAPECERICA,MOTOCICLETA,-23.65527485680706,-46.761084529156186
2024-03-07,ESTRADA DE ITAPECERICA,MOTOCICLETA,-23.65527485680706,-46.761084529156186
2024-02-05,RUA CARMOPOLIS DE MINAS,PEDESTRE,-23.5240088,-46.5898398
2024-03-06,NAO DISPONIVEL,PEDESTRE,NA,NA
2024-03-06,RUA ASSIS VALENTE,PEDESTRE,-23.532968,-46.514719
2024-03-03,RUA COMENDADOR ANTUNES DOS SANTOS,PEDESTRE,-23.672323,-46.759852
2024-03-04,AVENIDA EDU CHAVES,PEDESTRE,-23.48152554015257,-46.56652536377286
2024-03-05,RUA SARGENTO HERMINIO AURELIO SAMPAIO,MOTOCICLETA,-23.615805,-46.494343
2024-03-04,RUA CORONEL DIOGO,AUTOMOVEL,-23.578256,-46.622614
2024-03-03,BR 381,AUTOMOVEL,-23.418554186953,-46.5793240711827
2024-02-27,RUA SOLDADO FRANCISCO FRANCO,PEDESTRE,-23.52294,-46.565946
2024-02-27,AVENIDA GENERAL ATALIBA LEONEL,BICICLETA,-23.485440937812147,-46.60413300209148
2024-01-11,NAO DISPONIVEL,PEDESTRE,NA,NA
2024-03-02,RUA MIGUEL FERREIRA DE MELO,AUTOMOVEL,-23.629252,-46.444314
2024-02-20,RUA TEOTONIO VILELA,MOTOCICLETA,NA,NA
2024-03-03,ESTRADA DO ALVARENGA,MOTOCICLETA,-23.6932418,-46.657854
2024-03-02,RUA MARIA DOMITILA,PEDESTRE,-23.545406179717077,-46.623926118922256
2024-03-02,ESTRADA DOM JOAO NERY,AUTOMOVEL,-23.525708648218952,-46.39828890918234
2024-03-02,AVENIDA JACU-PESSEGO,MOTOCICLETA,-23.6058409,-46.4541198
2024-03-02,ESTRADA IGUATEMI,MOTOCICLETA,-23.590151564819333,-46.416568761617526
2024-03-02,AVENIDA DAS NACOES UNIDAS,PEDESTRE,-23.65279637710191,-46.72153924310647
2024-03-02,AVENIDA DOUTOR ASSIS RIBEIRO,MOTOCICLETA,-23.498896707427154,-46.520633688219355
2024-03-02,ESTRADA DE ITAPECERICA,MOTOCICLETA,-23.662377,-46.780324
2024-03-01,AVENIDA OTAVIANO ALVES DE LIMA,MOTOCICLETA,-23.509257,-46.721686
2024-02-08,AVENIDA DOS BANDEIRANTES,MOTOCICLETA,-23.61895785200278,-46.65830272380714
2024-03-01,ESTRADA DE ITAPECERICA,PEDESTRE,-23.675951,-46.789066
2023-12-25,NAO DISPONIVEL,MOTOCICLETA,NA,NA
2024-02-26,SP 021,CAMINHAO,-23.8026554579101,-46.7360086843149
