logradouro,faixas,limite_velocidade,mao_unica,superficie,tipo_via,tamanho
ACCESS TO SHOPPING CIDADE SAO PAULO,NA,NA,yes,asphalt,service,89.40074448630904
ACCESSO AO GLP,1,NA,yes,asphalt,service,53.27668165144554
ACESO AO HOSPITAL,NA,NA,no,NA,service,121.59557926765
ACESSO 1,NA,NA,yes,paved,service,86.37422276885138
ACESSO 1  VERTENTES DO MORUMBI,NA,10,yes,sett,residential,39.56189289921016
ACESSO 2,NA,NA,yes,asphalt,service,88.77230808171161
ACESSO 2  VERTENTES DO MORUMBI,1,10,no,asphalt,residential,18.6631351547254
ACESSO 3,NA,NA,NA,NA,residential,39.18052218317466
ACESSO A AVENIDA DAS NACOES UNIDAS,1,27.5,yes,asphalt,service,154.7149285745372
ACESSO A AVENIDA DAVID DOMINGUES FERREIRA,1.33,43.33,yes,paved,tertiary,211.86621262314247
ACESSO A AVENIDA DO ESTADO,NA,NA,yes,paved,service,25.17806890446785
ACESSO A AVENIDA DOS ESTADOS,NA,NA,yes,asphalt,residential,262.03685387344956
ACESSO A AVENIDA JACUPESSEGO,1,NA,yes,asphalt,tertiary,577.4278588620672
ACESSO A AVENIDA PRESTES MAIA,1,NA,yes,asphalt,primary,219.67038274495084
ACESSO A AVENIDA SENADOR TEOTONIO VILELA,NA,NA,yes,asphalt,residential,36.73162327594117
ACESSO A CORREDOR EXPRESSO TIRADENTES,1,50,yes,concrete,service,20.69759546880726
ACESSO A ESTRADA DO CIPO,NA,NA,yes,asphalt,primary_link,32.71193293552909
ACESSO A JACUPESSEGO,2,40,yes,asphalt,tertiary,179.8206088083733
ACESSO A MARGINAL TIETE,NA,NA,yes,asphalt,service,46.35324901454625
ACESSO A OSASCO,NA,NA,yes,asphalt,primary,707.660171003355
ACESSO A PLATAFORMA INTERMUNICIPAL,NA,NA,yes,NA,service,126.44256735171469
ACESSO A PLATAFORMA NORTE,NA,NA,yes,NA,service,90.53769449226091
ACESSO A PLATAFORMA SUL,NA,NA,yes,NA,service,125.74584308103667
ACESSO A RODOVIA FERNAO DIAS,NA,40,yes,asphalt,residential,574.4405911891164
ACESSO A RODOVIA HELIO SMIDT,1,NA,yes,NA,motorway_link,350.95154598068456
ACESSO A RUA ASA BRANCA,NA,NA,yes,NA,residential,55.17309560750621
ACESSO A RUA INGA,NA,NA,NA,NA,residential,105.07116341108129
ACESSO A RUA SILVA AIROSA,2,NA,yes,asphalt,trunk_link,170.7455934414084
ACESSO A SOUZA CRUZ,NA,NA,yes,asphalt,service,83.97250107874807
ACESSO ANDORINHA CRISTAL,NA,NA,NA,NA,residential,183.93853385368075
ACESSO ANU PRETO,NA,NA,NA,NA,residential,215.56604346596214
ACESSO AO AEROSAMPA,NA,20,NA,NA,service,369.19639475036945
ACESSO AO CONDOMINIO BEM VIVER,NA,20,no,asphalt,residential,747.3444313825477
ACESSO AO ESTACIONAMENTO,NA,NA,yes,concrete,service,119.01593646008834
ACESSO AO ESTACIONAMENTO DE VIATURAS,NA,NA,no,asphalt,service,256.8230515484829
ACESSO AO MORUMBI CORPORATE,NA,20,yes,paved,service,159.9097720223449
ACESSO AO PARQUE DA CIDADE,NA,NA,yes,asphalt,service,266.3883875085055
ACESSO AO PARQUE GUARAPIRANGA,NA,NA,yes,NA,residential,117.6364861889322
ACESSO AO PATRIO DE APREENSAO PRESIDENTE WILSON DO DETRANSP,NA,NA,NA,asphalt,service,72.09033790274735
ACESSO AO SAU,NA,30,no,paved,service,179.4638930188945
ACESSO AO TERMINAL 2 DO AEROPORTO INTERNACIONAL DE CUMBICA,2,NA,yes,asphalt,unclassified,305.69546920458106
ACESSO AO TERMINAL 3 DO AEROPORTO INTERNACIONAL DE CUMBICA,2,45,yes,NA,unclassified,238.66409058163194
ACESSO AO TERMINAL METROPOLITANO CECAP,NA,NA,yes,asphalt,service,222.71871094550258
ACESSO AO TERMINAL RODOVIARIO,NA,NA,yes,NA,service,83.65749654816
ACESSO AO TERMINAL VILA GALVAO,NA,10,NA,asphalt,service,37.047005648897276
ACESSO AO TOWER BRODGE,NA,20,yes,asphalt,service,10.892520603596521
ACESSO AO VIADUTO ANTONIO ADIB CHAMMAS,2,NA,yes,asphalt,primary,275.70256560743513
ACESSO ARAPONGA MARTELO,NA,NA,NA,NA,residential,101.14357521764535
ACESSO AS PLATAFORMAS 3 4 5 6 0 E 1,NA,NA,yes,paved,service,9.76116071085383
ACESSO AVENIDA CONCEICAO,2,40,yes,asphalt,tertiary,53.23815338831704
ACESSO AVENIDA CORREDOR ABD,NA,NA,yes,NA,residential,23.7935198777766
ACESSO AVENIDA DAVID DOMINGUES FERREIRA,2,30,yes,paved,tertiary,53.396649941992294
ACESSO AVENIDA DO ESTADO,2,50,yes,NA,trunk,393.93786733170464
ACESSO AVENIDA DO TABOAO,1.67,NA,yes,NA,tertiary,36.18564911938894
ACESSO AVENIDA LUIS CARLOS PRESTES,NA,NA,NA,NA,residential,24.908369434010396
ACESSO AVENIDA PEREIRA BARRETO,2.5,NA,yes,paved,primary,314.72341555976686
ACESSO AVENIDA PROFESSOR WALDEMAR MATIEL,1,40,yes,asphalt,secondary_link,32.744434736852725
ACESSO BEM TE VI AMARELO,NA,NA,NA,NA,residential,304.53773274693935
ACESSO BUSINESS PARK,NA,NA,yes,asphalt,service,45.557741479442
ACESSO C,NA,NA,NA,NA,residential,163.04582626875197
ACESSO CANARIO BELGA,NA,NA,NA,NA,residential,146.76793717189832
ACESSO CINCO E,NA,NA,NA,asphalt,residential,62.52863793983942
ACESSO COAN DO BREJO,NA,NA,NA,NA,residential,242.1665742219952
ACESSO CURIO CRISTAL,NA,NA,NA,NA,residential,335.4059909351672
ACESSO DA RUA CANARIO BELGA,2,NA,no,NA,tertiary,60.25152112565392
ACESSO DE BARCOS,NA,NA,NA,NA,service,37.32537352734026
ACESSO DE DESEMBARQUE A CARROS DO TERMINAL 3 DO AEROPORTO INTERNACIONAL DE CUMBICA,2,30,yes,NA,unclassified,267.30020977229594
