id_osm_radar,limite_velocidade,limite_velocidade_pesados,geometry
577242,90,60,"c(-46.717651, -23.5562976)"
25619365,60,NA,"c(-46.703478, -23.5640764)"
25675075,70,60,"c(-46.7067488, -23.6245457)"
25716953,50,NA,"c(-46.685963, -23.5993461)"
25782628,90,60,"c(-46.5948938, -23.528676)"
26201529,80,NA,"c(-46.5758303, -23.4013512)"
26201585,80,60,"c(-46.569243, -23.3878562)"
26352646,50,NA,"c(-46.6906098, -23.683223)"
26465178,120,90,"c(-46.60619, -23.7302922)"
26587911,80,NA,"c(-46.5297418, -23.9173425)"
26593999,50,NA,"c(-46.6016413, -23.6170253)"
26594107,70,NA,"c(-46.5963794, -23.6309348)"
26705618,90,NA,"c(-46.5618042, -23.6986905)"
29692298,50,NA,"c(-46.6419008, -23.6762174)"
29692676,50,NA,"c(-46.6358256, -23.6684505)"
130010311,50,NA,"c(-46.6184402, -23.5523751)"
157198525,50,NA,"c(-46.7111658, -23.5514763)"
245378765,50,NA,"c(-46.5065441, -23.4643732)"
305269239,50,NA,"c(-46.6735923, -23.6408893)"
312670305,50,NA,"c(-46.6659735, -23.5102993)"
312679408,40,NA,"c(-46.6413476, -23.4983797)"
496282244,40,NA,"c(-46.6309816, -23.4970274)"
592903450,50,NA,"c(-46.5680578, -23.4580392)"
615647999,80,60,"c(-46.4272883, -23.9323856)"
617887899,50,NA,"c(-46.6423691, -23.5496781)"
663049651,40,NA,"c(-46.5099707, -23.5891892)"
679632303,40,NA,"c(-46.6516723, -23.6369808)"
681434505,100,80,"c(-46.7980362, -23.7534678)"
681717039,100,80,"c(-46.8127774, -23.7430802)"
765121536,50,NA,"c(-46.6947464, -23.5912183)"
765184587,40,NA,"c(-46.6472568, -23.5155503)"
770206897,50,NA,"c(-46.6476293, -23.5928984)"
953290534,50,NA,"c(-46.4084288, -23.4190679)"
981556785,50,NA,"c(-46.726419, -23.4024633)"
1028696831,NA,NA,"c(-46.5440895, -23.7580007)"
1036654814,40,NA,"c(-46.5224119, -23.5981203)"
1079949598,40,NA,"c(-46.5291464, -23.5752961)"
1107272564,60,50,"c(-46.6972449, -23.6074601)"
1107272655,90,60,"c(-46.6988211, -23.6054535)"
1107272669,90,60,"c(-46.697432, -23.607251)"
1113256803,90,60,"c(-46.6937761, -23.5829129)"
1113256819,50,NA,"c(-46.6733867, -23.6395037)"
1113256948,50,NA,"c(-46.6765363, -23.6491188)"
1259642023,50,NA,"c(-46.750246, -23.6061617)"
1259652504,50,NA,"c(-46.6697492, -23.6509181)"
1280040217,50,NA,"c(-46.6733512, -23.6411129)"
1370704482,60,50,"c(-46.7177355, -23.6568326)"
1370718139,90,60,"c(-46.7245008, -23.6496777)"
1397985550,50,NA,"c(-46.6272703, -23.6155474)"
1399167386,50,NA,"c(-46.6698033, -23.6115689)"
1406363553,50,NA,"c(-46.5710865, -23.7506633)"
1409273114,60,NA,"c(-46.548538, -23.7277955)"
1419743345,30,NA,"c(-46.5243192, -23.7237347)"
1620800803,50,NA,"c(-46.7471997, -23.597974)"
1640725784,60,NA,"c(-46.7883215, -23.5194474)"
1656970871,60,NA,"c(-46.7887679, -23.5063153)"
1657348091,50,NA,"c(-46.6002005, -23.4760004)"
1657369213,40,NA,"c(-46.5997789, -23.4649161)"
1657981253,50,NA,"c(-46.5353259, -23.4472326)"
1662593579,50,NA,"c(-46.4813678, -23.5416371)"
1662593638,50,NA,"c(-46.5099912, -23.5196253)"
1678061706,40,NA,"c(-46.4351678, -23.5543392)"
1698801866,40,NA,"c(-46.7686733, -23.5556419)"
1706412822,40,NA,"c(-46.5402398, -23.5222132)"
1736492573,40,NA,"c(-46.6069921, -23.6454984)"
1754402370,70,60,"c(-46.7360042, -23.5184796)"
1795339706,50,NA,"c(-46.6742912, -23.4809959)"
1819457827,50,NA,"c(-46.692852, -23.5680344)"
1899228394,60,NA,"c(-46.5531, -23.6952502)"
1952848031,40,NA,"c(-46.6660398, -23.5499291)"
1986757988,90,70,"c(-46.7110227, -23.5578862)"
2021098358,60,NA,"c(-46.5927668, -23.6787968)"
2057821390,50,NA,"c(-46.5230472, -23.4996711)"
2076996468,40,NA,"c(-46.5313526, -23.5063029)"
2130280604,60,50,"c(-46.7223028, -23.5132636)"
2308541237,30,NA,"c(-46.8012353, -23.6750088)"
2376013981,50,NA,"c(-46.4634199, -23.4899973)"
2388091831,50,NA,"c(-46.6048242, -23.4821743)"
2393533061,50,NA,"c(-46.6123621, -23.4970414)"
2413894489,50,NA,"c(-46.5524491, -23.5356764)"
2413913518,50,NA,"c(-46.4933387, -23.5357182)"
2440989842,50,NA,"c(-46.4270505, -23.6678229)"
2441000962,NA,NA,"c(-46.4327106, -23.6648617)"
2453466159,40,NA,"c(-46.6852257, -23.5445146)"
2454873890,40,NA,"c(-46.6055063, -23.6152304)"
2455758014,40,NA,"c(-46.5519176, -23.5280275)"
2455758111,40,NA,"c(-46.5961519, -23.5680604)"
2456221388,50,NA,"c(-46.6113158, -23.563637)"
2477129764,50,NA,"c(-46.5028886, -23.5748935)"
2512350690,60,NA,"c(-46.7207702, -23.5760709)"
2518997514,40,NA,"c(-46.6509548, -23.6362048)"
2537960033,50,NA,"c(-46.6635953, -23.6584317)"
2542365126,50,NA,"c(-46.6043346, -23.5720437)"
2543820600,50,NA,"c(-46.6583627, -23.5227651)"
2545344482,50,NA,"c(-46.6660925, -23.5102062)"
2573762436,50,NA,"c(-46.7666527, -23.5777723)"
2573867370,NA,NA,"c(-46.5373698, -23.4352534)"
2573867390,NA,NA,"c(-46.537453, -23.4356029)"
2584006347,50,NA,"c(-46.6541196, -23.5588843)"
2592300983,40,NA,"c(-46.6635106, -23.6162749)"
2592300984,50,NA,"c(-46.6616845, -23.6175325)"
2641387913,50,NA,"c(-46.651593, -23.6230319)"
