variable,coefficient,std_error,t_statistic,p_value,lower_ci,upper_ci
pre39,.8766254953202913,2.378545776983955,.3685552339597476,.7124592681220063,-3.7852385631481,5.538489553788683
pre38,.5525757738145534,2.301317562763696,.2401127870205599,.8102428215417049,-3.957923766191785,5.063075313820892
pre37,.3126862587772672,.70456192820898,.4438023774178746,.657185469406631,-1.068229745390429,1.693602262944963
pre36,.4967507965471685,.5905235257081796,.84120407557251,.4002336177109463,-.6606540458644761,1.654155638958813
pre35,.3367777492049013,.3974525014757035,.8473408720651584,.3968051512893426,-.4422148392528303,1.115770337662633
pre34,.3276459502958852,.2857569521659707,1.146589602850974,.25155127556154,-.2324273842813524,.8877192848731228
pre33,.2266040941193835,.2350937365933116,.9638882660297566,.3351019473573653,-.2341711625944534,.6873793508332204
pre32,.4289365208365507,.2354392907341879,1.821856154505758,.0684768146089915,-.0325160095481124,.8903890512212138
pre31,.3763948793656727,.2112255439334654,1.781957202506883,.0747562111431628,-.0375995793588024,.7903893380901478
pre30,.3196364289092555,.195175092556681,1.637690674164428,.1014862370096415,-.0628997231811108,.7021725809996218
pre29,.3308653823950389,.1791579145870614,1.846780719443212,.064778927328447,-.0202776777409047,.6820084425309825
pre28,.1002511757968613,.1894449231295674,.5291837550499906,.5966779847120625,-.2710540505910498,.4715564021847725
pre27,.1885243932586939,.1690765936551731,1.115023606657134,.2648403057927764,-.1428596409341588,.5199084274515466
pre26,-.0471207624343497,.1632811972784371,-.2885865808173643,.7728977657452911,-.3671460284526659,.2729045035839665
pre25,.2899451575995874,.1789620166517813,1.620149141277021,.1052002434201617,-.0608139496385614,.6407042648377361
pre24,.3351891914179573,.1749241218076468,1.91619765161116,.0553399421853079,-.0076557873523279,.6780341701882424
pre23,.0168523582540463,.1635844960229988,.1030192876693949,.9179476630525886,-.3037673623801669,.3374720788882595
pre22,.0994890594872225,.1771260190022056,.5616851778618909,.5743305348110446,-.2476715584820576,.4466496774565026
pre21,-.0339767907725673,.1571037545688529,-.2162697566701152,.8287774818936033,-.3418944915635388,.2739409100184042
pre20,-.0281876070705543,.1779076617303009,-.1584395342865295,.8741104633331032,-.3768802166356789,.3205050024945704
pre19,.009395091121386,.1596878465060763,.058834102450173,.9530842456686004,-.3035873367992838,.3223775190420558
pre18,.0610621462730413,.184372787963618,.3311884955880289,.7405021095376552,-.30030187786489,.4224261704109726
pre17,.1978137721447206,.1658455484572642,1.192759009722194,.2329637677072229,-.1272375298278095,.5228650741172507
pre16,.0162612106455426,.1774854582106777,.091619960358895,.9269999920780747,-.3316038952269744,.3641263165180596
pre15,.0018112004040148,.1684332255680724,.0107532251900193,.9914203329894967,-.3283118555093181,.3319342563173477
pre14,.1168705972215797,.1508124266641148,.7749401014670404,.4383750546151993,-.1787163274611734,.4124575219043328
pre13,.1647094368530393,.1581393454340204,1.041546216098131,.2976221154887153,-.1452379847363793,.4746568584424579
pre12,.1046824799514186,.1545449494067713,.677359437194471,.4981779278510093,-.1982200548784179,.4075850147812551
pre11,.1585900788910809,.1583957339705016,1.001226958048097,.31671709627615,-.1518598549958897,.4690400127780515
pre10,.1994988341734361,.1601700335366533,1.245544061947036,.2129318295823545,-.1144286629609769,.5134263313078491
pre9,.1334827204020266,.1515246908287594,.8809304917366744,.3783554425706471,-.1635002163909085,.4304656571949617
pre8,.1282280588126529,.1493483765735442,.8585835464338583,.3905703188999302,-.1644893804210192,.420945498046325
pre7,.1743283491547843,.1541924373661834,1.130589490201658,.2582279130699286,-.1278832747713832,.4765399730809518
pre6,-.0024293752376904,.125617665511559,-.019339439463368,.9845703216626687,-.2486354754623453,.2437767249869645
pre5,.1503293988942491,.1306313455861282,1.15079116899346,.2498181587237381,-.1057033337065675,.4063621314950657
pre4,.094552806964522,.1237207969762255,.7642434358282664,.4447221864334678,-.1479354992474721,.337041113176516
pre3,-.0041797188255478,.1319035651627109,-.0316876865336571,.9747211146794029,-.2627059559768933,.2543465183257977
pre2,.0687344917915373,.1217302881097641,.5646457661347147,.5723147296223351,-.1698524887312847,.3073214723143592
post0,.2327284077173019,.1032030518009917,2.255053544018023,.0241299681139053,.0304541430927366,.4350026723418672
post1,.2865900544463453,.1165230922025527,2.459512951717453,.0139125677590754,.0582089903621021,.5149711185305885
post2,.094218275013351,.1214001307750955,.7760969812124726,.437691725981172,-.1437216090242888,.3321581590509908
post3,.1885811822395159,.1144871494521187,1.647182091107833,.0995206237372637,-.0358095073792914,.4129718718583232
post4,.0907274978969183,.1433546594461225,.6328883780092041,.5268065378033832,-.1902424716334864,.371697467427323
post5,.0580776980263472,.1458961858976447,.3980755060114617,.6905745289677157,-.2278735718147969,.3440289678674913
post6,.1329288611569341,.155876526356631,.8527830601819111,.3937796196056301,-.1725835165372711,.4384412388511394
