variable,coefficient,std_error,t_statistic,p_value,lower_ci,upper_ci
pre39,.5781608469937026,2.455539957205645,.2354516143372548,.8138582293925063,-4.234609031728387,5.390930725715791
pre38,.837032291328475,2.424886501404528,.3451841110269095,.7299559630747868,-3.915657918021735,5.589722500678685
pre37,-.2195070301092243,.8301867353628177,-.2644068144660163,.791466461138298,-1.846643131863232,1.407629071644783
pre36,.2589999313027951,.7317018932767262,.3539691965848755,.7233619682036561,-1.175109426939358,1.693109289544949
pre35,.1453255782258782,.5974481256612045,.2432438432458789,.8078165045689125,-1.025651230701043,1.316302387152799
pre34,1.557349456209667,1.031796190617698,1.509357633194342,.1312074137913518,-.4649339167866458,3.57963282920598
pre33,.9078104833396661,.673465928672997,1.347967944166713,.1776686930502273,-.412158481674229,2.227779448353561
pre32,1.468607501097215,.6051764524084141,2.426742638866092,.0152350589936844,.2824834500850055,2.654731552109425
pre31,1.313255595536901,.5619598473946366,2.336920692155193,.0194433082065054,.2118345338857885,2.414676657188013
pre30,.6589979091842846,.3374052625018067,1.953134649702614,.0508036421536006,-.0023042535135392,1.320300071882108
pre29,1.088548384349664,.5455788491203487,1.99521734778531,.0460191797917122,.0192334893469686,2.157863279352359
pre28,.6078920846698592,.371934979847355,1.634404177093918,.1021740117477633,-.1210870804215873,1.336871249761306
pre27,.4112164174078595,.2454272128888151,1.675512721542217,.0938336771860246,-.0698120806802626,.8922449154959816
pre26,.6310736954037631,.3810658417618579,1.65607521389478,.0977065881024837,-.1158016301879176,1.377949020995444
pre25,.730987781367165,.4063712971824114,1.798817452008773,.0720475617553828,-.0654853254611845,1.527460888195515
pre24,1.028064702362917,.5954682424352523,1.726481160705565,.0842608857216085,-.1390316067475428,2.195161011473377
pre23,.426094439441364,.4046262629008529,1.053056804535131,.2923149584164262,-.3669584630433431,1.219147341926071
pre22,.3640063293650769,.3099567644270511,1.174377755678071,.2402437510572534,-.243497765676509,.9715104244066628
pre21,.1564126578058533,.3196658558732356,.4893004834018908,.6246289788887162,-.4701209067928601,.7829462224045668
pre20,.6840622442515233,.4332913585022415,1.578758105437694,.1143915513920581,-.1651732132253029,1.533297701728349
pre19,.5261040665364507,.3810283691786067,1.380747758154039,.1673565314261736,-.2206978141416499,1.272905947214551
pre18,.6040989925153714,.3842932694116071,1.571973907948764,.1159566024846979,-.1491019750325264,1.357299960063269
pre17,.8538811074003858,.4420896053035526,1.931466148845739,.0534254316479332,-.0125985969341049,1.720360811734877
pre16,.304091617415384,.3769343955977893,.8067494528673028,.4198108463434162,-.4346862224906561,1.042869457321424
pre15,.7484990702292688,.4952653522436665,1.511309173634689,.1307096977755277,-.2222031829588611,1.719201323417399
pre14,.4694002826648373,.3281098777636128,1.43061917508932,.1525393888493486,-.1736832607236833,1.112483826053358
pre13,.472253567605314,.305222989486382,1.547241144580901,.1218051079503722,-.1259724990416422,1.07047963425227
pre12,.6305287695354996,.4192808308323193,1.50383400138716,.1326241139895995,-.1912465583038772,1.452304097374876
