variable,coefficient,std_error,t_statistic,p_value,lower_ci,upper_ci
pre78,-.0125788156092272,3.498788255500149,-.0035951920181089,.9971314579751421,-6.870077785921243,6.844920154702789
pre77,1.150572001965682,3.74823036883321,.3069640573676491,.7588707303517025,-6.195824526706691,8.496968530638055
pre76,.9037119326161157,3.834147948238513,.2357008505713244,.8136648098273371,-6.611079957329513,8.418503822561744
pre75,-.3490510344817433,3.237542689270514,-.1078135697294517,.9141435785487592,-6.694518103862901,5.996416034899415
pre74,.3058430487909351,1.07671058751988,.2840531637154429,.7763696390615139,-1.804470924520991,2.416157022102861
pre73,.1212858401956607,1.049479288999499,.1155676357475203,.9079952139270487,-1.93565576876406,2.178227449155382
pre72,.6543836364203821,1.021066239624513,.6408826489660704,.5215989297645196,-1.346869419073407,2.655636691914172
pre71,.067315118117017,1.006468025534459,.0668825202681139,.9466752286811259,-1.905325963521662,2.039956199755696
pre70,.5106534278781293,.9429622282403834,.541541763375862,.5881342198055237,-1.33751857825466,2.358825434010919
pre69,-.4934331793487183,.4239958143510887,-1.16376898697432,.2445176434896084,-1.324449705072583,.3375833463751466
pre68,.0451151249636112,.3737676357103536,.1207036689462663,.9039257528479218,-.6874559796153688,.777686229542591
pre67,.0361024938643214,.3330935529707931,.1083854476987941,.9136899441836781,-.6167488734409178,.6889538611695606
pre66,-.1800907383692914,.2949591309301617,-.6105616659547726,.541489807296708,-.7582000119036425,.3980185351650598
pre65,.1543343851545508,.2738316737697857,.563610421796209,.5730192925912057,-.3823658332605505,.6910346035696521
pre64,.1206137900069653,.3044200209084975,.3962084676527217,.6919512451097358,-.4760384871466199,.7172660671605505
pre63,.3012554732736481,.2551376416360792,1.180756674482984,.2376993999582135,-.1988051154335541,.8013160619808503
pre62,.1748471471533078,.2799344608688841,.6246002961214654,.5322334252844969,-.3738143141813421,.7235086084879576
pre61,.1662682451348285,.2472010294293505,.6726033686779107,.5011996580235836,-.3182368694879244,.6507733597575814
pre60,-.0830869427338388,.2370980004887414,-.350432911971285,.7260138301947789,-.5477904844982321,.3816165990305545
