variable,coefficient,std_error,t_statistic,p_value,lower_ci,upper_ci
pre78,1.856298027026614,7.32330180206159,.2534782912407141,.7998986345951623,-12.49710975293138,16.2097058069846
pre77,1.214444130439488,.6493776604153064,1.870166167500736,.0614607463240759,-.0583126963393941,2.48720095721837
pre76,1.716536087806169,7.964108108076036,.2155340013611202,.8293510056837068,-13.89282897300629,17.32590114861863
pre75,.2876821075864476,.2623294398777382,1.09664438623635,.2727968763433234,-.2264741466584847,.8018383618313798
pre74,-.0606245783867342,6.934023623537388,-.0087430591065403,.9930241369985711,-13.65106114846994,13.52981199169647
pre73,.9007865105838577,6.662945001894482,.1351934482916693,.8924589270440817,-12.15834572410049,13.9599187452682
pre72,1.519825755062829,7.547133767810706,.201377874279245,.8404031145906824,-13.27228461635223,16.31193612647789
pre71,1.306251566046563,6.35974650757399,.2053936527958958,.8372645789036443,-11.15862253960285,13.77112567169597
pre70,1.59393362309744,7.592751399612611,.2099283302201576,.8337236105549161,-13.28758566370936,16.47545290990425
pre69,.0658862443401082,1.081543350837525,.0609187271958052,.9514239349987871,-2.053899771020209,2.185672259700425
pre68,.3209991189850071,.5425455127786339,.5916538086197004,.5540824338117751,-.7423705460349309,1.384368784004945
pre67,.4180527034398722,.5572703201797785,.7501793802781496,.453146675788646,-.674177053765598,1.510282460645342
pre66,.0201201868558924,.5132633037125239,.0392005169868166,.9687305214589088,-.9858574030066978,1.026097776718483
pre65,.1350118504012346,.4581252233639611,.294705123219058,.7682191491488697,-.7628970878014967,1.032920788603966
pre64,-.004712591101447,.4307445139625042,-.0109405713797605,.991270861150724,-.8489563250061656,.8395311428032717
pre63,.1068962663171427,.4147519058867955,.2577354432852673,.7966110901763864,-.7060025317403225,.9197950643746078
pre62,-.0153903831920369,.4070509923251833,-.0378094722337439,.9698395920233959,-.813195668020686,.7824149016366122
pre61,.1702430241901657,.3702487040140733,.4598072115971396,.645654606407984,-.5554311010000484,.8959171493803798
pre60,-.2814168142896446,.4053448688863408,-.6942651452892925,.4875159449732787,-1.075878158624983,.5130445300456936
pre59,-.1669454121670249,.4123235535409506,-.4048893417155817,.6855588531893371,-.9750847270848608,.6411939027508109
pre58,-.3133951059034595,.395761474760462,-.7918787600363186,.4284313727572685,-1.089073342902423,.4622831310955036
pre57,.3843902579383235,.3399754334234343,1.130641276246484,.2582061070999818,-.2819493472000026,1.05072986307665
pre56,.1714806482757449,.3565709592919593,.4809159125472611,.6305762628571364,-.527385589869393,.8703468864208829
pre55,.0888020104874956,.4508752107913496,.1969547412722814,.843862955214541,-.7948971641854548,.9725011851604459
pre54,.0722594123357553,.3616409845877113,.1998097987099958,.8416293375999282,-.6365438927897636,.7810627174612742
pre53,-.3246682102515892,.3965386738908398,-.8187554748845625,.4129259389361556,-1.101869729554909,.4525333090517302
pre52,-.1354292738949384,.3901051127297784,-.3471609816832849,.7284703821276171,-.9000212450302417,.6291626972403649
pre51,-.1789020565881277,.3496405272073931,-.5116742558908509,.6088790064941572,-.8641848974502151,.5063807842739596
pre50,-.0113006979081276,.3811013882149679,-.0296527335181293,.9763440085159303,-.758245693267682,.7356442974514268
pre49,-.1506250297539673,.4274383746829294,-.3523900488946502,.724545763817806,-.988388849742846,.6871387902349114
pre48,.2126817009887304,.3490013056281078,.6094008748934648,.5422587581349896,-.4713482885998168,.8967116905772776
pre47,-.0269021448629224,.360679058612272,-.0745874877416769,.9405429297264795,-.7338201097207866,.6800158199949418
pre46,-.1196108605010486,.333843534568067,-.3582841903941719,.7201306481183555,-.7739321647260123,.5347104437239151
pre45,.1007239541861849,.3582658892392634,.2811430203418491,.7786007058043283,-.6014642856119874,.8029121939843573
pre44,-.0554949920068803,.3479437632741249,-.1594941420552464,.873279573206405,-.7374522366694953,.6264622526557346
pre43,.1660106614294456,.3332347187897228,.4981793674812178,.6183576235816071,-.4871173857967439,.819138708655635
pre42,-.2647422594027043,.3494000353200424,-.7577053023483712,.448627424033605,-.9495537448270102,.4200692260216015
pre41,-.3597524775321942,.3344442354961076,-1.07567253177064,.2820737362476168,-1.015251133941597,.295746178877209
pre40,-.1955769940069119,.3399952623527266,-.5752344684262435,.5651327343631346,-.8619554631325029,.4708014751186792
pre39,-.0279849979399422,.3444473039650611,-.0812460937211483,.9352462431632287,-.7030893082833825,.647119312403498
pre38,-.1664985784667342,.3052894520583523,-.5453794009067501,.5854926048288372,-.7648549093610723,.4318577524276038
pre37,.0620764206773583,.3251542892998145,.1909137376321663,.8485931770594802,-.5752142757689956,.6993671171237122
pre36,-.2870480192992874,.3722488753183965,-.7711185669903394,.4406366562813721,-1.016642408208885,.4425463696103106
pre35,.0622414219068485,.3564782943366737,.1746008744309828,.8613932614438293,-.6364431962633006,.7609260400769975
pre34,.1060683433466819,.3258907774151163,.3254720621061735,.7448238237861604,-.5326658432807052,.744802529974069
pre33,-.1032047299052408,.3462865717362131,-.2980327229779442,.7656781885242828,-.7819139388380641,.5755044790275826
pre32,-.0835837166931701,.3367763087721511,-.2481876382513575,.8039892304410535,-.7436531527329269,.5764857193465867
pre31,-.2478210793253223,.354949113321212,-.6981876275348124,.4850598629526293,-.943508557779324,.4478663991286794
pre30,-.0461379251277312,.3350532570708291,-.1377032580763058,.8904749443610918,-.7028302418893962,.6105543916339339
pre29,-.3656110634615727,.3704891829417141,-.9868333012008375,.3237243664620189,-1.091756518689003,.3605343917658581
pre28,.2875413839046315,.321425315951716,.894582254833423,.3710104412409685,-.3424406590801396,.9175234268894026
pre27,-.2744409675565378,.3736898944734142,-.7344083198804902,.4626999176071192,-1.006859702111003,.4579777669979274
pre26,.1103088072266959,.3475281142388326,.3174097366720902,.750932720114581,-.5708337802965374,.7914513947499292
pre25,-.0864138312615872,.3177274262690505,-.271974730907908,.7856414490304706,-.7091481436495316,.5363204811263572
pre24,-.0217279191091053,.3543351358547605,-.0613202499850634,.9511041639916951,-.716212023841543,.6727561856233324
pre23,-.127917785744958,.3253653382456273,-.3931512386497338,.6942077817469561,-.76562213052408,.5097865590341641
pre22,-.1164748536505833,.3111410894607953,-.3743473864298449,.7081458813762505,-.726300183104297,.4933504758031304
pre21,.3906848816300743,.3136808562119349,1.245485256410141,.2129534316985016,-.2241182991850053,1.005488062445154
pre20,-.0081119549488924,.3348119813309914,-.0242283890697239,.9806704335703558,-.6643313799501325,.6481074700523477
pre19,-.103830929761869,.355924482954607,-.2917217969945358,.770499342180949,-.8014300975689391,.5937682380452011
pre18,.0113928834760797,.3210161886468372,.0354900590032656,.9716889731493916,-.6177872847260369,.6405730516781963
pre17,.0711949247104047,.3528115146628135,.2017930871061467,.84007848607103,-.620302937359735,.7626927867805443
pre16,.1769795402361551,.3029186536667735,.5842477447124861,.5590536434857485,-.4167301111960829,.7706891916683931
pre15,-.0909064925613668,.3319995119632719,-.2738151391361789,.7842266887492767,-.7416135788942546,.5598005937715209
pre14,-.1731524192593727,.3639404382167842,-.4757713105687721,.6342373110466732,-.8864625706819944,.5401577321632489
pre13,.2605139286243599,.3292239807225146,.7912969403159403,.4287707334800874,-.3847532164386776,.9057810736873975
pre12,.2701268406805619,.291318089377776,.9272573538345101,.3537929307397087,-.3008461225448995,.8410998039060233
pre11,-.1190421114308557,.2900792126132146,-.4103779459356983,.6815287217537405,-.6875869208164932,.4495026979547818
pre10,-.0242250654529835,.2722860857797098,-.088969164118737,.9291064163789686,-.5578959870725984,.5094458561666313
pre9,-.121620515363342,.3132244060669538,-.3882855646227797,.6978047186715035,-.7355290703335207,.4922880396068367
pre8,-.1995989694230651,.2910415576408614,-.6858091711746733,.4928334522373158,-.7700299404035916,.3708320015574614
pre7,.2105482373473183,.2491602480799286,.845031416407067,.3980932985317872,-.277796875268407,.6988933499630436
pre6,-.0500005279670337,.286643555788708,-.1744345091919328,.8615239956158707,-.611811573713399,.5118105177793316
pre5,-.0966297740049596,.278434821113008,-.3470462983713541,.7285565366709257,-.642351995428308,.4490924474183888
pre4,-.2453192827865351,.2934847000850312,-.8358844011815909,.4032199386489347,-.8205387249667355,.3299001593936653
pre3,-.0866592057830329,.2701802990639376,-.3207458355893121,.7484030091586683,-.6162028612806115,.4428844497145458
pre2,-.1001503076743218,.2621653442704447,-.38201200068232,.7024524632406903,-.6139849404389376,.413684325090294
post0,.2350610726276858,.2539372577838407,.9256659486642841,.3546196091005583,-.2626468069615056,.7327689522168771
post1,.0880779137340498,.271922663859926,.3239079541358895,.7460077218404146,-.4448807140115963,.621036541479696
post2,.3673100566563685,.2704964005937137,1.357911069611862,.1744919044386273,-.1628531464550292,.8974732597677663
post3,.3112059736885481,.299878003439136,1.037775262338344,.2993746962548334,-.2765441128079368,.8989560601850329
post4,-.0272984756214099,.3009685191349718,-.0907020963517041,.9277293048521241,-.6171859336063086,.5625889823634889
