variable,coefficient,std_error,t_statistic,p_value,lower_ci,upper_ci
pre39,0,,,,,
pre38,18.32329991174126,9.436152732996421,1.941818920296636,.0521590255630635,-.1712195975509232,36.81781942103344
pre37,-.1177830724683234,7.614615978730188,-.015468025281554,.9876587935694783,-15.04215614688271,14.80659000194606
pre36,0,,,,,
pre35,-.4855079203982378,.4719636443398722,-1.028697710556307,.3036217461077,-1.410539665316659,.439523824520183
pre34,-.0896121860854539,1.677822603268841,-.0534098097801673,.9574053892960531,-3.378084060939618,3.19885968876871
pre33,.0702691839502731,.966258707651337,.0727229502759926,.9420265852225707,-1.823563082794564,1.964101450695111
pre32,.0849045924501256,.6498741406848457,.130647747209409,.8960539695984285,-1.188825317776088,1.358634502676339
pre31,-.137700805789689,.6339520746573374,-.2172101193361009,.8280445988522138,-1.380224040042518,1.10482242846314
pre30,-.0124878343705852,.5337739615127343,-.0233953607163494,.9813349056066999,-1.058665574820813,1.033689906079643
pre29,.4658782066475258,.4947169263348302,.9417066242286078,.3463428626465935,-.5037491515110963,1.435505564806148
pre28,-.0226804003773167,.5454287873925455,-.0415826976895402,.96683136655437,-1.09170117979806,1.046340379043427
pre27,.2138833636940375,.5369086532523865,.3983608056946265,.690364244769137,-.8384382596685439,1.266204987056619
pre26,-1.071051708155036,.7370177141559378,-1.453223833814696,.1461616167698381,-2.51557988386871,.3734764675586382
pre25,-.9605500592561216,.7234493077093087,-1.327736510381848,.1842651676137929,-2.378484647006802,.4573845284945586
pre24,.5332196972091228,.5080608198679091,1.049519420426387,.2939391218224324,-.4625612116878709,1.529000606106116
pre23,.0818631538372939,.5829442615304052,.1404304995170178,.8883198614813167,-1.060686603756599,1.224412911431186
pre22,.1538176431603273,.5472781222936279,.2810593679785366,.7786648651256651,-.9188277660618906,1.226463052382545
pre21,-.1037593701964862,.6297726041938555,-.1647568813021076,.8691353438772872,-1.338090992866442,1.130572252473469
pre20,-.4102081608253257,.5793792560766109,-.7080131995113822,.4789370606145709,-1.545770636125092,.7253543144744408
pre19,-.6769844477739191,.6561401972644817,-1.031767982812727,.3021808214184553,-1.96299560322131,.6090267076734714
pre18,-.5020037134497229,.6015934368056295,-.8344567655446625,.4040236407055412,-1.681105182924429,.6770977560249837
pre17,.3429705940254614,.4500446800796035,.7620812092808141,.4460115370589223,-.5391007703644122,1.225041958415335
pre16,-.0378967198818948,.4773576575993419,-.0793885240523416,.9367235963111998,-.9735005365210077,.897707096757218
pre15,-.3963223559964899,.5549059342887989,-.7142153859003881,.4750940043214587,-1.483918002010086,.6912732900171057
pre14,.6501150575363988,.4498719017772734,1.445111497224078,.1484265700715805,-.2316176676035977,1.531847782676395
pre13,.2390345395222332,.4624350180550194,.5169040626023557,.6052231315065528,-.6673214410557343,1.145390520100201
pre12,-.5620979364957219,.6322333826001163,-.8890671577385615,.3739669881210549,-1.801252596215882,.6770567232244384
pre11,-.1640190756640379,.5031358334038484,-.3259936279123771,.7444291762129418,-1.150147188467125,.8221090371390496
pre10,-.4163493373689642,.5771181046965741,-.7214283072749281,.4706460354980657,-1.547480037400266,.7147813626623372
pre9,-.6442593712418132,.5632171619383355,-1.143891583531595,.252668601920667,-1.748144724115814,.4596259816321875
pre8,-.2944752187278502,.5380093268096264,-.5473422189055278,.5841436438341197,-1.348954122621357,.7600036851656572
pre7,.1600427693693359,.4643283984182698,.3446758154670704,.7303381016813488,-.7500241685296377,1.070109707268309
pre6,-.0822605686036541,.4690139824886059,-.1753904396776753,.8607728521847768,-1.001511082527021,.8369899453197129
pre5,-.3398813233559336,.5333659005566638,-.6372385692471265,.5239694583091388,-1.385259279028766,.7054966323168993
pre4,-.5841905300819586,.5394915703355657,-1.082853861309807,.278873293956285,-1.641574577902625,.4731935177387075
pre3,-.7069892061334877,.5378311528157181,-1.31451888279839,.1886716478549642,-1.761118895415953,.3471404831489777
pre2,-.4216424317723025,.4643509209805997,-.9080254021719029,.3638648009347967,-1.331753513082282,.4884686495376773
post0,-.1641067201759634,.4946585184891206,-.3317575944657925,.7400723071071282,-1.13361960106058,.8054061607086532
post1,-.1017380957933778,.4825856497922618,-.2108187341193691,.833028719357114,-1.04758858884207,.8441123972553147
post2,.0333927380945716,.4606287639972051,.0724938186768862,.9422089245091407,-.8694230495831506,.9362085257722937
post3,.1989171224107587,.4346463445788766,.4576528133544687,.6472018938018633,-.6529740589758255,1.050808303797343
post4,-.6375085882475763,.6113816096587488,-1.042734322027466,.2970713571400601,-1.83579452398885,.5607773474936969
post5,-.0678056472069702,.5179438662605864,-.1309131194013523,.8958440362226665,-1.08295697109115,.9473456766772094
post6,-.3537762383088643,.5074095812844357,-.6972202562934064,.4856649640603654,-1.348280743036907,.6407282664191786
post7,-.7403639111375395,.7317150978710915,-1.01181991910733,.3116241641452303,-2.174499149909079,.6937713276340003
post8,.3957089586513992,.8750012716689523,.4522381526333503,.6510974256074455,-1.319262020246494,2.110679937549293
post9,.4145561032452014,2.588507483503198,.1601525612296686,.8727608976012129,-4.658825338133475,5.487937544623877
post10,-.6639415121382671,2.433828307271815,-.2727971854688914,.785009123208584,-5.434157338945107,4.106274314668573
post11,.0360014733973052,2.517920376629173,.0142980984353054,.9885921567058719,-4.899031780735402,4.971034727530013
post12,-.4333938957122336,4.983176422242679,-.0869714132090039,.930694234938631,-10.20024021191704,9.333452420492577
post13,0,,,,,
post14,1.446918953469909,7.95315959682743,.1819300789647293,.8556375987979351,-14.14098741961095,17.03482532655077
post15,1.329135943194722,8.096937613993656,.164152918863747,.8696107635489936,-14.54057016530052,17.19884205168997
post16,1.223775428777344,8.060683710337262,.1518203011995047,.8793286697020342,-14.57487433425238,17.02242519180707
post17,1.629240539966955,8.299573557635707,.1963041267907113,.8443721315215764,-14.63762472004,17.89610579997391
post18,0,,,,,
post19,0,,,,,
post20,18.2543070266748,9.352473147960207,1.951816031747293,.0509600502097304,-.0762035097051452,36.58481756305475
post21,18.2543070266748,9.22577639374024,1.978620145081826,.0478587898019925,.1721175655241112,36.33649648782549
post22,0,,,,,
