variable,coefficient,std_error,t_statistic,p_value,lower_ci,upper_ci
pre39,0,,,,,
pre38,18.88683020239899,9.527285811685651,1.982393577322245,.0474352078771793,.2136931410756588,37.55996726372232
pre37,.3638476724809636,7.433881425915228,.0489445084787814,.9609635187080494,-14.20629218765414,14.93398753261607
pre36,0,,,,,
pre35,.0107269254157486,.5471410807527136,.0196054103650768,.9843581478165553,-1.061649887321891,1.083103738153389
pre34,1.770054946301675,2.251570678362871,.7861422976020862,.4317841265713184,-2.642942491935969,6.183052384539319
pre33,.2394075312789689,1.002381852403773,.2388386528595414,.8112306967781588,-1.725224798188971,2.204039860746909
pre32,1.333306087484372,1.023119422737926,1.303177378762265,.192514211174254,-.671971132965373,3.338583307934117
pre31,.5337233146061588,.9225534605265659,.5785283318990809,.5629074750490612,-1.274448241838705,2.341894871051022
pre30,.1137737151141769,.6423129691180542,.1771312749147773,.8594052764995413,-1.145136571160197,1.372684001388551
pre29,.6667764945597452,.6545103559260879,1.018740938966965,.3083259713806855,-.6160402305638788,1.949593219683369
pre28,-.1054017793198997,.6125944606475254,-.1720580026278523,.863391929351317,-1.306064859317789,1.095261300677989
pre27,.1374086567989231,.616822030381733,.2227687242524151,.8237155107848415,-1.071540307620145,1.346357621217991
pre26,-.9332593969535712,.851804592244618,-1.095626162914089,.273242407389364,-2.602765719618849,.7362469257117061
pre25,-2.002034597052942,.9233247360142658,-2.168288705981348,.0301367271994551,-3.811717825675855,-.1923513684300282
pre24,.3338391573780718,.6275337246160021,.531986002158455,.5947356904383936,-.8961043419535685,1.563782656709712
pre23,.0213299628257768,.6968789226607678,.0306078461152713,.9755822847877557,-1.344527627174402,1.387187552825955
pre22,-.0255552638915618,.5987407355286255,-.0426816857032438,.9659552789559545,-1.199065541604689,1.147955013821566
pre21,-.5374943074109519,.6716234079633091,-.8002912064082128,.4235420967474596,-1.853851998193089,.7788633833711855
pre20,-1.104091791768596,.7057612223117004,-1.56439849181877,.1177240146836322,-2.487358369184495,.279174785647303
pre19,-.8846116213581612,.7174948991892046,-1.232916948061658,.2176067515982695,-2.290875782860199,.5216525401438765
pre18,-.6084966121634976,.6749568940703011,-.9015340350018245,.3673044461322937,-1.931387815658304,.7143945913313088
