variable,coefficient,std_error,t_statistic,p_value,lower_ci,upper_ci
pre78,0,,,,,
pre77,0,,,,,
pre76,18.42304101452702,10.06812676144089,1.829838007710028,.0672741655460442,-1.310124829681016,38.15620685873505
pre75,0,,,,,
pre74,17.23773554883144,9.049939294149425,1.904734936727723,.0568145351684718,-.4998195299752695,34.97529062763815
pre73,0,,,,,
pre72,0,,,,,
pre71,0,,,,,
pre70,0,,,,,
pre69,16.72932132360657,8.656079575338834,1.932667228622574,.0532772047473228,-.2362828913703083,33.69492553858345
pre68,.664877323553654,5.925295975047252,.112209976742698,.9106569188341685,-10.9484893852791,12.27824403238641
pre67,2.427291064921984,6.553147558552444,.3704007949209311,.7110838816000211,-10.41664213521739,15.27122426506136
pre66,.2456736900462092,2.539640521717045,.0967356159052423,.922936355053493,-4.731930266197712,5.223277646290131
pre65,1.041030168170911,3.155890077054082,.3298689570147126,.7414989805163714,-5.144400722022425,7.226461058364247
pre64,1.903524947096498,2.221791683060583,.8567522156147135,.3915818391926868,-2.451106732852876,6.258156627045872
pre63,.703892834973422,1.362695649157292,.5165444209121222,.6054742223760022,-1.9669415592643,3.374727229211144
pre62,.7577199785954559,1.200460935211468,.6311908670830503,.5279157328289704,-1.595140219266292,3.110580176457204
pre61,.3530779247584234,1.205400750997514,.2929133107526591,.769588414362805,-2.009464134134237,2.715619983651084
pre60,.1009084838647574,1.093890244931508,.0922473569284601,.9265015130291224,-2.043076999240695,2.24489396697021
pre59,.8383836415113873,1.211909684109511,.6917872284578831,.4890709582542339,-1.536915691858568,3.213682974881343
pre58,.9196273547247871,1.169038377876792,.7866528354655169,.4314851207982737,-1.371645762458852,3.210900471908426
pre57,.8940028533493375,1.485692906238615,.6017413488314474,.5473463215907256,-2.017901734964992,3.805907441663666
pre56,.7099242735788223,1.345642598234224,.5275726812679663,.5977959582448422,-1.927486755023158,3.347335302180803
pre55,.2691795123222299,1.338192211694988,.2011516058528546,.8405800309225292,-2.353629026991946,2.891988051636405
pre54,.9923660367911307,1.237180856535828,.8021188103167133,.4224842350183091,-1.432463884381507,3.417195957963769
pre53,-.2078176525842271,1.354528440456352,-.1534243552052784,.878063639580451,-2.862644611913884,2.44700930674543
pre52,.8780108115428059,1.943852527462934,.4516859170838247,.6514952650336707,-2.931870133541701,4.687891756627312
pre51,-2.484798511404291,1.427246964078886,-1.74097305788135,.0816883012304431,-5.282151158043039,.312554135234457
pre50,-.7133475929818568,1.662586705337724,-.4290588819768971,.6678803744788114,-3.971957656618903,2.54526247065519
pre49,0,,,,,
pre48,1.484745919979393,1.235093759896373,1.202132152383286,.2293123309878246,-.9359933669476594,3.905485206906445
pre47,1.187664993098757,1.612968294789634,.7363225904286324,.4615344014570424,-1.97369477289391,4.349024759091423
pre46,.3023360859658899,1.168451698991792,.2587493229089084,.7958286609241005,-1.987787161732659,2.592459333664439
pre45,-.5204184563843468,2.786452525775725,-.1867673866933967,.8518430185830528,-5.981765051535433,4.94092813876674
pre44,-.6010065163848518,2.851079101148552,-.2107996639387303,.8330436007893935,-6.189018871710843,4.987005838941139
pre43,-.9504837109600385,2.598102315263675,-.3658376752047104,.7144862049947123,-6.042670677026971,4.141703255106894
pre42,-.4791264148746543,2.435679008402465,-.1967116410749493,.8440531998283975,-5.252969549243717,4.294716719494408
pre41,-1.070829542064361,2.972300052896627,-.3602696642355452,.7186454827195433,-6.896430596988247,4.754771512859524
pre40,-2.340534147061467,2.396111971758805,-.9768049968647572,.3286657017907287,-7.03682731463398,2.355759020511046
pre39,-.4254594455250328,2.972152918072124,-.1431485718443469,.8861728451286837,-6.250772121492021,5.399853230441956
pre38,-1.539201898987086,2.560037293692393,-.6012419829896558,.5476788254628968,-6.556782793703563,3.478378995729392
pre37,-1.971595210119351,2.940921142634251,-.6704005699225747,.5026024714386789,-7.735694731054864,3.792504310816162
pre36,-.7352487960562193,2.614166221098305,-.2812555644404719,.77851438960772,-5.858920439010069,4.38842284689763
pre35,-.2259961476813741,2.66493886633023,-.0848035017000534,.9324176096174441,-5.449180346689625,4.997188051326876
pre34,.4355430953786479,2.675905171755372,.1627647720763345,.8707036461387349,-4.809134667306347,5.680220858063644
pre33,.3233100349815512,2.330772529692455,.1387136800622118,.8896764074871732,-4.244920179370974,4.891540249334076
pre32,-.688079968129937,2.715059617948306,-.2534308873297963,.7999352618916081,-6.009499035187696,4.633339098927822
pre31,-.4393894779716789,2.550469778794677,-.1722778609748238,.8632190885048243,-5.438218388067084,4.559439432123727
pre30,-.4271136712734078,2.64604558470166,-.1614158402042664,.8717658915851455,-5.613267718739889,4.759040376193073
pre29,.0181409969559174,2.28329166120886,.0079451071731733,.993660788346173,-4.457028425214079,4.493310419125915
pre28,-.4006182827002424,2.532311185216915,-.1582026273228051,.8742971335228826,-5.363857003373334,4.562620437972849
pre27,.1671597516852521,2.800862651283542,.0596815240506879,.9524092871726296,-5.322430170473858,5.656749673844363
