variable,coefficient,std_error,t_statistic,p_value,lower_ci,upper_ci
pre39,1.007724907139508,1.855084846828353,.5432230816085959,.5869762163465432,-2.628174580910066,4.643624395189082
pre38,.3740631882487479,1.511909899621791,.2474110317964854,.8045901373912113,-2.589225762879531,3.337352139377026
pre37,.4059450745171582,.7208566764523715,.563142560480925,.573337812194806,-1.006908049344732,1.818798198379049
pre36,.4743535013485281,.657788070531661,.7211342415576634,.4708269254014655,-.8148874263536201,1.763594429050676
pre35,.2472574280630885,.4160055754806865,.5943608514799046,.5522707866850078,-.5680985172469158,1.062613373373093
pre34,.2803475092631785,.315539292688752,.8884709947667701,.3742874513312799,-.3380981401140181,.898793158640375
pre33,.0307925834418479,.3004093776081038,.1025020712969156,.918358168853487,-.5579989772881289,.6195841441718246
pre32,.3295059855890038,.3289098861576809,1.001812348781262,.3164342319461154,-.31514554543922,.9741575166172276
pre31,.2117971492699235,.3017733147267139,.701841875785893,.4827777803859073,-.3796676790897063,.8032619776295533
pre30,.0411794421217127,.2652340592890683,.1552569916250191,.876618720116635,-.4786697615582224,.5610286458016478
pre29,.3783911908411732,.2560808249012869,1.477624070396657,.1395084279607351,-.123518003096657,.8803003847790034
pre28,.0247942108234127,.2506257469356305,.0989292246569572,.9211944647984838,-.4664232267688728,.5160116484156982
pre27,.281749998658583,.2362335487533061,1.192675638771396,.2329964299996786,-.1812592488379839,.74475924615515
pre26,.1191855316550643,.2292582784291382,.5198744947040312,.6031510532601181,-.3301524372237025,.568523500533831
pre25,.1307256354302513,.2687093814798196,.4864944971788004,.6266166059361344,-.3959350745782293,.6573863454387319
pre24,.2692375616699788,.2607072307619341,1.032719962860693,.3017349685899415,-.2417392211325849,.7802143444725426
pre23,-.237253688115083,.233921533818651,-1.014244752255324,.3104659791571696,-.6957314696080071,.2212240933778411
pre22,.033869733513976,.2387942163932567,.1418364901191654,.8872091604849975,-.4341583303332712,.5018977973612232
pre21,.1372426794267177,.2233291856234383,.6145308730858243,.5388645782956932,-.3004744810918818,.5749598399453172
pre20,-.2717193310405195,.2127350885335868,-1.277266166637199,.2015082940636661,-.6886724428142894,.1452337807332504
pre19,-.0157378282178897,.2113071119092053,-.0744784596963871,.9406296802288781,-.4298921572371067,.3984165008013273
pre18,-.1197180229748582,.2360269201723381,-.5072219003130852,.6119991302396512,-.5823222858945513,.3428862399448348
