variable,coefficient,std_error,t_statistic,p_value,lower_ci,upper_ci
pre39,.5032318401683009,2.404252326450307,.2093090790147155,.8342069647201977,-4.209016129420938,5.215479809757539
pre38,-.0808833715674832,2.162109217851074,-.0374094753862034,.9701585176947151,-4.318539569197653,4.156772826062686
pre37,-.127899123347527,.7878137875784751,-.1623468963911562,.871032686501054,-1.671985773525427,1.416187526830373
pre36,.0007633897227209,.7173263703018267,.0010642153339486,.999150879175952,-1.405170461229702,1.406697240675143
pre35,-.0037712709321308,.5729313587643365,-.0065824131886662,.9947480320703196,-1.126696099723827,1.119153557859565
pre34,-.0743343390052803,.4120744553025266,-.1803905533302407,.8568459700270696,-.8819854303471926,.733316752336632
pre33,-.2170329661041504,.3681795499574526,-.589475885146883,.5555420842583563,-.938651623864923,.5045856916566223
pre32,.1837474092432952,.3804451319713886,.4829800510027656,.6291099008489047,-.5619113475142143,.9294061660008046
pre31,.3635060664630566,.3815029311816481,.9528264051265638,.3406780332505449,-.3842259386494363,1.11123807157555
pre30,-.1366049543736244,.3319017232552249,-.4115825402586967,.6806454310715548,-.7871203783606453,.5139104696133965
pre29,.1850399377858616,.2996641134298718,.6174911492335408,.53691081736986,-.4022909319958126,.7723708075675357
pre28,-.1635588796664322,.3143709116370877,-.5202735800672483,.6028729074488257,-.7797145442621479,.4525967849292835
pre27,.1825966189886732,.3036063124400211,.6014256341417342,.5475565293183952,-.4124608188727831,.7776540568501294
pre26,.0437733633501107,.312384981220631,.1401263376333528,.8885601714672394,-.568489949153547,.6560366758537685
pre25,-.0019683274248895,.3326569290261735,-.0059169891054175,.9952789532942703,-.6539639275238864,.6500272726741074
pre24,-.0434113059729743,.3107698266023903,-.1396895781279186,.8889052611157452,-.6525089735954167,.5656863616494682
pre23,-.4128979722383836,.2870785772547575,-1.438275109855976,.1503560111924991,-.9755616443907078,.1497656999139407
pre22,-.1427524966285989,.2812806748382568,-.5075090804253974,.6117976667116864,-.6940524888587039,.408547495601506
pre21,-.0323170963451967,.286937948387598,-.1126274740821054,.9103259024653207,-.5947051409827017,.5300709482923082
pre20,-.313719543607787,.2600765051697854,-1.206258686854401,.2277177617873751,-.8234601269656114,.1960210397500375
pre19,-.1356398282749001,.263019127398423,-.515703285979776,.6060616592545792,-.6511478452209614,.3798681886711612
pre18,-.1651966448521985,.3300423569884649,-.5005316479968424,.6167007775692936,-.8120677779223011,.481674488217904
pre17,.1106227953305276,.2921064469836092,.3787071338988109,.7049053552069247,-.4618953204093051,.6831409110703603
pre16,-.1563877745771225,.2720793698398713,-.5747873301425332,.5654351365212587,-.6896535403996236,.3768779912453786
pre15,-.5129072158437147,.3419493503717858,-1.499950841509289,.1336271367862495,-1.183115627109283,.1573011954218535
pre14,-.3257746029692375,.331799513099801,-.981841714973369,.3261778336200153,-.9760896987327734,.3245404927942984
pre13,-.1735113267265343,.259215651538638,-.6693705634540789,.5032591243910001,-.6815646679713494,.3345420145182808
pre12,-.2839029763089023,.3041891598177078,-.9333106297378826,.3506596084177257,-.8801027740391083,.3122968214213036
pre11,-.372026990022422,.32687037892802,-1.138148373194581,.2550585320070207,-1.012681160334301,.2686271802894572
pre10,-.0482577332296379,.3342511382020595,-.1443756736004454,.8852038251940813,-.7033779258971946,.6068624594379188
