variable,coefficient,std_error,t_statistic,p_value,lower_ci,upper_ci
pre12,.3010771678914367,.1587120296373434,1.897002820639351,.0578275658225643,-.0099926941110099,.6121470298938834
pre11,-.0125996773496397,.1500580776163556,-.0839653389526456,.933083989927738,-.3067081050670127,.2815087503677334
pre10,.0846911970905032,.1312980374952622,.6450301825231715,.5189076264371255,-.1726482276410004,.3420306218220068
pre9,.2100188501549137,.2020712509129351,1.039330677699436,.2986509720250779,-.1860335239453956,.606071224255223
pre8,-.1586853144490284,.1474764489936943,-1.076004443637054,.2819252690721276,-.4477338430445275,.1303632141464707
pre7,.203233215217296,.1162297725693454,1.748546957674226,.0803693618817402,-.0245729529499024,.4310393833844944
pre6,-.2696350265379253,.1188696011855378,-2.268326164542817,.0233093343374077,-.5026151637182191,-.0366548893576315
pre5,-.1371355519216988,.1304392141187629,-1.051336845657771,.293103910226844,-.3927917137661825,.118520609922785
pre4,-.0883410392229165,.1163061488668086,-.7595560517104116,.4475199974258525,-.3162969021824154,.1396148237365823
pre3,-.1391711555428822,.1300553627132697,-1.070091633589227,.284578064634595,-.3940749824571843,.1157326713714199
pre2,-.2059112650811765,.1291186501852478,-1.594744560803211,.1107693689208545,-.4589791691766882,.0471566390143352
post0,.2221820817529947,.1441793793511076,1.541011500763461,.1233139869558538,-.0604043090885141,.5047684725945035
post1,.0667303910770805,.1903201365463743,.3506218116905388,.7258720907865048,-.3062902220865584,.4397510042407194
post2,.2742837003808662,.1260707858261189,2.175632511398537,.029582750296479,.0271895006590104,.5213779001027219
post3,.2901699027691544,.1456054777561841,1.992850181468055,.0462778549054114,.0047884104152856,.5755513951230231
post4,-.2166392212059872,.1588107867208268,-1.364134172994287,.1725253412334304,-.5279026435352796,.0946242011233052
post5,.2661670692931354,.1869379031747992,1.423826119651357,.1544968126667051,-.1002244882749068,.6325586268611776
post6,-.065979282593653,.1633121710101061,-.4040071366730534,.6862074711822533,-.3860652560105072,.2541066908232012
post7,.0749282347568982,.1937157224680497,.386794803241933,.6989081247766631,-.3047476045196358,.4546040740334322
post8,-.1160290141404966,.1820586361995088,-.6373167269766116,.5239185576331319,-.4728573841660139,.2407993558850207
post9,-.059067050016287,.1713336243269924,-.3447487336376938,.7302832773974248,-.3948747830379077,.2767406830053338
post10,-.0570958410484589,.1796351800707171,-.3178433145778123,.7506037927898757,-.4091743243434317,.2949826422465139
post11,.1068943533323004,.17686865396489,.6043713848442579,.5455967560190738,-.2397618384329613,.4535505450975622
post12,-.0359078598203955,.1857631959257636,-.1932991066472894,.84672472592748,-.3999970334879499,.3281813138471589
