variable,coefficient,std_error,t_statistic,p_value,lower_ci,upper_ci
pre12,.3637099968421492,.1614322997842987,2.253018741157305,.0242579673254563,.0473085033234508,.6801114903608476
pre11,.044225415845246,.223689505806096,.1977089434118674,.8432727920089513,-.3941979592542654,.4826487909447573
pre10,-.1723463940198091,.1802533230237197,-.9561343509718812,.3390043619167332,-.5256364152399643,.1809436272003461
pre9,-.0063273219495468,.2123217335702274,-.0298006324795477,.9762260543462941,-.4224702728823014,.4098156289832078
pre8,-.183513658621477,.2169464956707083,-.8458936294597851,.3976120866861197,-.60872097670824,.241693659465286
pre7,.3252718801470081,.1626067813872914,2.000358640469529,.0454615510916655,.0065684449859389,.6439753153080772
pre6,-.1741845285961416,.2058437688758164,-.8461977233871262,.3974424517610691,-.5776309020347287,.2292618448424454
pre5,-.0682187113272543,.1621765641221029,-.4206446948517934,.6740145515563339,-.3860789361430267,.2496415134885181
pre4,-.193839684407254,.2011995108208198,-.963420256920405,.3353366646169395,-.5881834793231376,.2005041105086296
pre3,-.1287873577694028,.1781038252852048,-.7231027046340551,.4696167877683755,-.4778644408372184,.2202897252984128
pre2,-.0698189204305076,.1846630425300166,-.3780882166455081,.7053650615123355,-.4317518330649283,.2921139922039132
post0,.2989621356910915,.2191525315927495,1.364173772113442,.1725128808100561,-.1305689333514739,.7284932047336569
post1,.3629535090181239,.3115427082571889,1.165020073968458,.2440108673296568,-.2476589788120356,.9735659968482835
post2,.3490603276937232,.1953786722746836,1.786583579619059,.0740048175999312,-.0338748333119111,.7319954886993575
post3,.4359554099888089,.2581408194296314,1.688827869036998,.0912524214268107,-.0699912990329259,.9419021190105437
post4,-.1929101001601878,.2548368476040509,-.7569945318893566,.449053138444768,-.6923811433978498,.3065609430774743
post5,-.0438122292342225,.2484129413446258,-.1763685458457712,.8600044140709434,-.5306926475633499,.4430681890949049
post6,-.4744885481664239,.2714615826822027,-1.747903123079861,.080480803977898,-1.006543473409783,.0575663770769354
post7,.4570262800827617,.3363867592140531,1.358633381262019,.1742627918260405,-.2022796528529296,1.116332213018453
post8,-.2067470715899823,.2839746240403785,-.7280476989401166,.4665843880516828,-.7633271072324264,.3498329640524618
post9,.0978204976256989,.2534549742745645,.3859482257378434,.6995350134083955,-.3989421236549733,.5945831189063712
post10,.0335501609293528,.2208586190658514,.1519078633709534,.8792596062021756,-.3993247781149672,.4664250999736728
post11,-.0648765757954518,.2791438035374778,-.2324127384283545,.8162174559425408,-.6119883772364326,.482235225645529
post12,.4248025156523448,.2468339701920624,1.721005076091449,.0852499027798297,-.0589831760851308,.9085882073898204
