variable,coefficient,std_error,t_statistic,p_value,lower_ci,upper_ci
pre12,.7129090738910494,.2597532566742832,2.744562601519178,.0060591596704157,.203802045942466,1.222016101839633
pre11,-.3807361611153583,.4968605286190897,-.7662837741881559,.4435074707552658,-1.354564902548307,.5930925803175904
pre10,-.5129759995877751,.5003221799096681,-1.025291342631245,.3052257395065645,-1.493589452877294,.4676374537017437
pre9,-.0444962469492208,.5223339238971333,-.0851873579591276,.9321124409331765,-1.068251925691087,.9792594317926459
pre8,-.259741448312414,.5254956248348748,-.4942789930820679,.6211091588029067,-1.28969394702214,.7702110503973123
pre7,-.2158102656319112,.5046408297274946,-.4276512182901421,.6689050704199788,-1.20488811702621,.773267585762388
pre6,-.0809393828442612,.4768452437167786,-.1697393104173123,.8652151573922009,-1.015538886728372,.8536601210398492
pre5,-1.105256567192875,.6120352773441807,-1.805870687697842,.0709385406829796,-2.304823668055453,.0943105336697025
pre4,.0743202192769357,.4336662553868764,.1713765328838744,.8639277058384516,-.7756500225916911,.9242904611455625
pre3,.2481849691208517,.3038581016934164,.8167791733631732,.4140546361671705,-.3473659666089536,.843735904850657
pre2,.0681227386097261,.4243517341260576,.1605336637778169,.872460705628588,-.7635913770544634,.8998368542739156
post0,.1805983365426712,.4578701297475121,.3944313568615196,.6932625969108062,-.7168106273591339,1.078007300444476
post1,-.1194955019829368,.6221526158184294,-.1920678286078454,.8476890747638064,-1.338892221874443,1.099901217908569
post2,.2497115284766769,.5249073688965279,.4757249436250554,.6342703480184932,-.7790880097801978,1.278511066733552
post3,.278076787381161,.4391032389282266,.6332833892546483,.5265485985747074,-.5825497464130494,1.138703321175371
post4,.3831123468823194,.5841396795120478,.6558574264332573,.5119158630310463,-.7617803869020638,1.528005080666703
post5,.526757113453503,.4468461789418272,1.178833205424095,.2384645992360632,-.3490453039018185,1.402559530808825
post6,.5803002699795275,.3921477974109446,1.479799896393175,.1389266563458409,-.1882952895626332,1.348895829521688
post7,-.7376322027722134,.577183039895469,-1.277986620857402,.2012541437356519,-1.868890173454678,.3936257679102509
post8,-.1643202130737848,.5928326640031082,-.2771780690426385,.7816433785166589,-1.326250883378812,.9976104572312421
post9,-.1895455035562874,.6002242661382856,-.3157911371624186,.7521610456713367,-1.365963447834311,.9868724407217366
post10,-.0416856728113746,.5634985324452443,-.0739765419272414,.9410290509358745,-1.146122501745228,1.062751156122479
post11,.3183192720346438,.5594387876925333,.5689975007767812,.5693578360051105,-.7781606033974711,1.414799147466759
post12,-.0572852634072091,.5593830611363119,-.1024079336454017,.9184328866439166,-1.153655916796148,1.039085389981729
