variable,coefficient,std_error,t_statistic,p_value,lower_ci,upper_ci
pre12,.184786481627816,.123343982944659,1.498139408314102,.1340970341548054,-.0569632826534382,.4265362459090702
pre11,-.0638751688641433,.1686336791247916,-.3787806160409669,.7048507828430438,-.3943911065292187,.2666407688009321
pre10,-.1019460936649763,.1441506001471703,-.7072193494920911,.479430175800248,-.3844760783032642,.1805838909733116
pre9,-.0219401809567925,.1658072455600939,-.1323234149549917,.8947284877622466,-.3469164106303652,.3030360487167802
pre8,.0138446435571093,.1419953319454257,.0975006950399632,.9223287822995075,-.2644610930287349,.2921503801429535
pre7,.2505995601249635,.1346984351830301,1.860448933830934,.0628220369628489,-.0134045216076784,.5146036418576053
pre6,-.1899522197676218,.1390041631620844,-1.366521803711231,.171775242069675,-.4623953732664365,.0824909337311929
pre5,-.0830477774329886,.1343263117867896,-.6182539841100287,.5364079296257794,-.3463225107111945,.1802269558452172
pre4,.1124744776756223,.1295201760084173,.8683934900483208,.3851789574424384,-.1413804025721644,.366329357923409
pre3,-.0167905179095236,.1395007619308612,-.1203614781533971,.9041968054883934,-.2902069871099078,.2566259512908605
pre2,-.1760355541526994,.1494071364178212,-1.178227214397651,.2387060358821378,-.4688681605648917,.1167970522594929
post0,.2721585505657811,.1584432530325868,1.717703627997379,.0858506872847611,-.0383845189714557,.582701620103018
post1,.0132065441591057,.1972945722465393,.0669382031584873,.9466308995045329,-.373483711789347,.3998968001075584
post2,.1258494005229547,.1638911764541543,.7678839291153597,.4425561459749647,-.1953714027110865,.4470702037569959
post3,.2563451974803102,.1748867049004421,1.465778645816673,.142708600418958,-.0864264454994409,.5991168404600613
post4,.0290521626292652,.2062165199013101,.140881839355881,.8879632891405181,-.3751247893944898,.4332291146530202
post5,.2121121017217507,.1641298397636459,1.292343318114496,.1962382767476805,-.1095764730033253,.5338006764468267
post6,-.3513958417627987,.1977614091341339,-1.776867606786016,.0755900251906439,-.7390010811975916,.0362093976719942
post7,.1520894017537339,.2078568907935746,.7317024765119569,.4643501845243665,-.2553026181401474,.5594814216476152
post8,-.0347881208213514,.2027352812832118,-.1715938173225705,.8637568684199174,-.4321419705320438,.362565728889341
post9,-.1936134052528524,.2534505594631907,-.7639099541264631,.4449209050912125,-.6903673736622334,.3031405631565286
post10,-.3525952405938305,.2365558044013682,-1.490537260271898,.1360830269391851,-.8162360975544138,.1110456163667528
post11,.0875744822132371,.2207109655377206,.3967835580795834,.6915270763542911,-.3450110612337562,.5201600256602305
post12,-.1542550429997093,.2439727081595777,-.6322635189949778,.5272146975033627,-.6324327642031828,.3239226782037643
