variable,coefficient,std_error,t_statistic,p_value,lower_ci,upper_ci
pre6,.1130422489355758,.1087080950825016,1.039869651379548,.2984004639549629,-.1000217022540832,.3261062001252347
pre5,-.0875675200970002,.1307733787996993,-.6696127369403225,.5031046924534238,-.3438786326810246,.1687435924870243
pre4,-.0208491444874654,.1147303747443101,-.1817229703461714,.8558001383852052,-.245716546919097,.2040182579441662
pre3,.1113025203209757,.0980730044659768,1.134894570907007,.2564194949492368,-.0809170362879747,.3035220769299262
pre2,-.0305206785611728,.1088645877371487,-.2803545137640567,.7792055309718213,-.243891349717785,.1828499925954394
post0,.2907224390209789,.1333484953213964,2.180170374778357,.0292448347268561,.029364190798434,.5520806872435238
post1,.2828972375561493,.1415442426265204,1.998648848633171,.0456463610988665,.0054756197891702,.5603188553231284
post2,.0027959546646057,.1754105345028246,.0159394911630047,.9872826646062759,-.341002375469851,.3465942847990624
post3,-.0141261762380307,.1551538452632047,-.0910462529244242,.9274558391277669,-.3182221250168122,.2899697725407508
post4,.0969897311257857,.1614467340893941,.6007537512160626,.5480040122223867,-.2194400531110418,.4134195153626132
post5,.2032977970694438,.167859052833977,1.211122031473143,.2258486388492271,-.1256999009641571,.5322954951030447
post6,.1881180361589733,.1836149148147108,1.024524812424997,.3055874573502074,-.1717605839022498,.5479966562201964
