variable,coefficient,std_error,t_statistic,p_value,lower_ci,upper_ci
pre6,.1102585463747271,.1188693768195153,.9275605654275244,.3536355613494254,-.1227211510562433,.3432382438056975
pre5,-.0816202529621317,.1673998751817266,-.4875765461206353,.6258498116944515,-.4097179793348161,.2464774734105527
pre4,-.0042316153111697,.1214481479072563,-.034842979362692,.9722049488470943,-.2422656111984855,.2338023805761461
pre3,.1577359248956119,.1155906848198914,1.364607581842685,.1723764205113316,-.0688176542996959,.3842895040909197
pre2,-.0937366727928449,.1175658019239431,-.7973124093814797,.4252696150753854,-.3241614103773431,.1366880647916534
post0,.325100267456782,.1506377944049707,2.15815870606012,.0309154947200044,.0298556157124902,.6203449192010737
post1,.5162029819936262,.1983450301316527,2.602550624288359,.0092533152656101,.1274538664230751,.9049520975641774
post2,-.134212528103241,.2075790864334545,-.6465609344815512,.5179161481898946,-.5410600614565386,.2726350052500567
post3,.019186800539336,.1703750550073042,.1126150805263919,.910335728579053,-.3147421711390107,.3531157722176827
post4,.0791858717376183,.2767714541901777,.2861056317000357,.7747972182994021,-.4632762104239074,.621647953899144
post5,.1965889309001317,.1749234585321455,1.123856871741446,.2610737501404867,-.1462547478740591,.5394326096743225
post6,.1089645618411168,.2153699894856019,.5059412506885106,.612897892811967,-.313152860901433,.5310819845836666
