coefficient,std_error,t_statistic,p_value,lower_ci,upper_ci
.031922355,.044871666,-.056024496,.47682738,-.056024496,.11986921
.047103044,.046837259,-.044696294,.3145721,-.044696294,.13890238
.060973004,.047521591,-.032167602,.1994714,-.032167602,.15411361
.04013443,.043676745,-.04547042,.35814947,-.04547042,.12573928
.04249154,.048611492,-.052785233,.38206115,-.052785233,.13776831
.060493033,.053632244,-.044624235,.25935254,-.044624235,.1656103
-.00079225027,.039716184,-.078634538,.98408502,-.078634538,.077050038
.049598601,.04280718,-.034301933,.24659832,-.034301933,.13349913
.030416002,.039258547,-.046529334,.43848073,-.046529334,.10736134
-.0014120564,.042767845,-.085235491,.97366118,-.085235491,.082411379
.025117617,.043789543,-.06070831,.56623954,-.06070831,.11094354
0,,,,,
.089390188,.040055513,.010882826,.025637604,.010882826,.16789755
.10443993,.039672442,.026683372,.0084745027,.026683372,.18219648
.029831011,.038422875,-.04547644,.43752068,-.04547644,.10513846
.064702794,.037785042,-.009354529,.086824507,-.009354529,.13876012
.031443644,.045859486,-.058439299,.49293265,-.058439299,.12132659
.01982454,.047238231,-.072760686,.67472541,-.072760686,.11240977
.04006369,.044550929,-.047254529,.36850435,-.047254529,.12738191
.023746397,.04811823,-.070563599,.62165862,-.070563599,.11805639
.041122008,.065952204,-.088141933,.53294796,-.088141933,.17038596
.035094395,.084312856,-.13015577,.67723429,-.13015577,.20034456
.034110017,.12595004,-.21274753,.78652811,-.21274753,.28096756
.035535719,.10251934,-.16539849,.72887343,-.16539849,.23646994
.16002737,.36604539,-.55740845,.66198152,-.55740845,.87746316
