coefficient,std_error,t_statistic,p_value,lower_ci,upper_ci
.47630462,.41110665,-.32944959,.24662277,-.32944959,1.2820588
.29435977,.26216763,-.21947937,.26152578,-.21947937,.80819887
.57057756,.41857725,-.24981876,.17283976,-.24981876,1.3909739
.50203985,.4892267,-.45682687,.30480176,-.45682687,1.4609065
.31858176,.26105458,-.19307582,.2223267,-.19307582,.83023936
.99428827,.81332546,-.59980041,.2215196,-.59980041,2.5883768
.1090566,.12370296,-.13339674,.37799284,-.13339674,.35150993
.29621238,.15365966,-.0049550356,.053890318,-.0049550356,.59737974
.10619456,.099274628,-.088380143,.28475216,-.088380143,.30076927
.0022812232,.10921812,-.21178235,.98333591,-.21178235,.2163448
.097684152,.11423714,-.12621652,.3924959,-.12621652,.32158482
0,,,,,
.27526084,.095338665,.088400498,.003886993,.088400498,.46212119
.28978875,.10936064,.075445831,.0080528697,.075445831,.50413167
.054842856,.091102235,-.12371425,.54717916,-.12371425,.23339996
,,,,,
.11991549,.12079256,-.11683359,.3208372,-.11683359,.35666457
.15488513,.10630378,-.05346645,.14511502,-.05346645,.36323673
.06728109,.091403894,-.11186725,.46167859,-.11186725,.24642943
.12416746,.12301204,-.1169317,.31278628,-.1169317,.36526662
.22105229,.17847148,-.12874536,.21549879,-.12874536,.57084996
.020608319,.22195588,-.41441721,.92602372,-.41441721,.45563385
.069888197,.25010791,-.42031431,.77991319,-.42031431,.56009072
.077174217,.23440482,-.38225076,.74197823,-.38225076,.53659922
.10262886,.68746442,-1.2447766,.88132793,-1.2447766,1.4500344
