coefficient,std_error,t_statistic,p_value,lower_ci,upper_ci
.010573834,.034524508,-.057092953,.75939876,-.057092953,.078240626
-.041627102,.026967697,-.094482817,.12268737,-.094482817,.011228612
.0020064388,.028989779,-.054812483,.94482094,-.054812483,.058825362
-.030382521,.033250459,-.095552228,.36084959,-.095552228,.034787182
-.036330957,.029103328,-.093372434,.21190518,-.093372434,.020710517
.0083405524,.029820561,-.050106674,.77971435,-.050106674,.066787779
-.041188132,.030888515,-.10172851,.18238586,-.10172851,.019352244
-.048941303,.029210137,-.10619212,.093838066,-.10619212,.0083095143
-.045692679,.028332228,-.10122282,.10679979,-.10122282,.00983747
-.02414749,.030610876,-.084143706,.43019778,-.084143706,.035848726
-.050431192,.029999992,-.10923009,.092755102,-.10923009,.0083677107
0,,,,,
.01816502,.031672556,-.043912049,.56628889,-.043912049,.08024209
-.03509729,.031707779,-.097243391,.26833785,-.097243391,.027048813
.046841122,.029252239,-.010492212,.10931418,-.010492212,.10417446
.042840462,.033380326,-.022583771,.19935037,-.022583771,.1082647
-.032799702,.029651588,-.090915747,.26865286,-.090915747,.025316343
.010582101,.0307301,-.049647789,.73057842,-.049647789,.070811994
-.0193366,.029351577,-.076864637,.51002902,-.076864637,.038191434
-.019527277,.03454696,-.087238073,.57191145,-.087238073,.048183519
-.027233394,.035805587,-.097411059,.44690162,-.097411059,.042944267
-.017475177,.032510817,-.081195205,.5909093,-.081195205,.046244856
-.056955758,.032041866,-.11975667,.075479142,-.11975667,.0058451481
.013640937,.03733588,-.059536044,.7148447,-.059536044,.08681792
-.0064173131,.035663746,-.076316968,.85720015,-.076316968,.063482344
