coefficient,std_error,t_statistic,p_value,lower_ci,upper_ci
.067409039,.12013599,-.16805317,.57472515,-.16805317,.30287123
-.055319659,.069494769,-.1915269,.42601678,-.1915269,.080887586
.011617783,.072170213,-.12983324,.87211108,-.12983324,.1530688
.034807753,.1229269,-.20612453,.77705562,-.20612453,.27574003
-.10799722,.073150285,-.25136912,.13984337,-.25136912,.035374701
.016223885,.072087191,-.12506442,.82193321,-.12506442,.15751219
-.15323848,.074331492,-.29892552,.039250098,-.29892552,-.0075514307
-.13468391,.069860041,-.27160707,.05386626,-.27160707,.0022392571
-.087284081,.062382311,-.20955116,.16175902,-.20955116,.034983002
-.1112522,.072892547,-.25411895,.12694779,-.25411895,.031614568
-.14126536,.06938041,-.27724847,.041740444,-.27724847,-.0052822586
0,,,,,
.04641635,.07721889,-.1049299,.54777277,-.1049299,.19776259
-.022504233,.087370962,-.19374816,.79673797,-.19374816,.1487397
.060069978,.072395198,-.081822008,.40667969,-.081822008,.20196196
.041776393,.077341601,-.10981036,.5890907,-.10981036,.19336314
-.10694686,.068543963,-.24129057,.11869688,-.24129057,.027396839
.051369887,.091578297,-.12812027,.57483876,-.12812027,.23086004
-.085995361,.073009342,-.22909105,.23884927,-.22909105,.057100318
-.02095833,.0992935,-.21557002,.83282912,-.21557002,.17365336
-.11387287,.10619309,-.32200751,.28357676,-.32200751,.094261758
-.050566044,.075561538,-.19866394,.5033657,-.19866394,.097531848
-.078943372,.080725759,-.23716296,.32811368,-.23716296,.079276212
.016898924,.086850494,-.15332492,.84572577,-.15332492,.18712276
-.042479653,.086607583,-.21222739,.62379128,-.21222739,.12726809
