coefficient,std_error,t_statistic,p_value,lower_ci,upper_ci
.0098295975,.026639288,-.042382449,.71213609,-.042382449,.062041644
.015533257,.025862159,-.035155643,.54809499,-.035155643,.066222154
.0098210126,.025684485,-.040519655,.70218593,-.040519655,.06016168
.029396759,.026849777,-.023227837,.27357778,-.023227837,.082021356
.0022749004,.028440477,-.053467412,.93624669,-.053467412,.058017213
.033830121,.033125896,-.031095441,.30713171,-.031095441,.09875568
.015829064,.026173269,-.035469603,.54532534,-.035469603,.067127727
-.00043548056,.026405178,-.05218868,.98684168,-.05218868,.051317718
.0049007479,.025928168,-.045917526,.85008299,-.045917526,.055719022
.028375058,.028083062,-.026666733,.31230485,-.026666733,.083416849
.0032221684,.029319726,-.054243438,.91249055,-.054243438,.060687773
0,,,,,
.068590917,.02986767,.010051358,.021647669,.010051358,.12713046
.042567424,.027052432,-.010454368,.11559948,-.010454368,.095589221
.016433265,.026269594,-.035054196,.53160214,-.035054196,.067920722
.0089155398,.027734311,-.045442712,.74785995,-.045442712,.063273795
.025474524,.031661376,-.036580633,.42105454,-.036580633,.087529682
.040843327,.032129318,-.022128977,.20365155,-.022128977,.10381563
.021601539,.028119082,-.033510849,.44235864,-.033510849,.076713927
.011204443,.029575963,-.046763379,.70480955,-.046763379,.069172263
.027942613,.038387403,-.047295317,.46666807,-.047295317,.10318054
-.014501912,.047919039,-.1084215,.76216912,-.1084215,.079417683
-.031948376,.057959098,-.14554612,.58148092,-.14554612,.08164937
-.050677571,.043844502,-.13661122,.24774343,-.13661122,.035256077
.025639998,.23817456,-.44117355,.91427165,-.44117355,.49245355
