coefficient,std_error,t_statistic,p_value,lower_ci,upper_ci
.016638448,.021700291,-.025893342,.44323704,-.025893342,.059170239
-.013434161,.01834454,-.0493888,.46397036,-.0493888,.022520477
-.0041848128,.017041638,-.03758581,.80601978,-.03758581,.029216185
-.011145575,.020635443,-.051590301,.58911562,-.051590301,.029299149
-.021147989,.018199261,-.056817885,.24522549,-.056817885,.014521908
.010458442,.018462297,-.025726994,.57107049,-.025726994,.046643879
-.0038161976,.019622285,-.042275168,.84579784,-.042275168,.034642775
-.020462291,.02058471,-.060807582,.32019711,-.060807582,.019882999
-.0211061,.020391844,-.061073378,.3006565,-.061073378,.018861178
-.0119257,.020170799,-.051459741,.55436236,-.051459741,.027608339
-.011106553,.020694267,-.051666573,.59147686,-.051666573,.029453466
0,,,,,
.011386308,.019787714,-.027396897,.56500518,-.027396897,.050169513
.0023597414,.020291632,-.037411127,.90742165,-.037411127,.042130608
.017911592,.020721648,-.022702092,.38737351,-.022702092,.058525275
.015842166,.022349404,-.027961859,.47842336,-.027961859,.059646193
-.0018492908,.018515294,-.038138602,.92044032,-.038138602,.034440018
-.0076618455,.016374908,-.039756075,.63985497,-.039756075,.024432383
-.025364416,.018299537,-.061230849,.16572593,-.061230849,.010502018
.014870786,.024668088,-.033477779,.54661846,-.033477779,.063219346
-.0077807098,.02211529,-.05112588,.72496957,-.05112588,.035564464
.0098597528,.021090901,-.031477652,.64015043,-.031477652,.051197156
-.0082187336,.018746028,-.044960275,.66107798,-.044960275,.028522806
-.0039654099,.024216494,-.051428866,.86992931,-.051428866,.043498047
.0099992203,.021173377,-.031499837,.63674521,-.031499837,.051498279
