coefficient,std_error,t_statistic,p_value,lower_ci,upper_ci
-.013574556,.012906998,-.03887181,.29292774,-.03887181,.011722696
-.0050404086,.013488336,-.03147706,.7086376,-.03147706,.021396242
-.009292434,.011109973,-.031067582,.40292722,-.031067582,.012482712
-.021418775,.012337851,-.045600519,.082560033,-.045600519,.0027629689
-.0088010794,.014288577,-.036806177,.53792614,-.036806177,.019204019
.0035131772,.014912621,-.025715023,.81375539,-.025715023,.032741375
-.0026455377,.013159879,-.028438427,.8406747,-.028438427,.023147352
-.0093649328,.012957659,-.034761477,.46984369,-.034761477,.016031612
-.021460475,.012813312,-.046574105,.093962155,-.046574105,.0036531559
-.018496616,.012797285,-.043578833,.14835827,-.043578833,.0065856017
-.019973582,.014966024,-.049306449,.18200889,-.049306449,.0093592852
0,,,,,
-.01110273,.015395439,-.041277237,.4708049,-.041277237,.019071776
-.0033033793,.013428182,-.029622134,.80567956,-.029622134,.023015376
-.0014723812,.013315958,-.027571181,.91195524,-.027571181,.024626417
.0074198772,.014104193,-.020223834,.59883541,-.020223834,.035063587
-.016934777,.011789191,-.040041167,.15086965,-.040041167,.0061716121
-.0018708006,.012042416,-.025473503,.87654465,-.025473503,.021731902
-.0079228757,.0096333493,-.026803892,.4108251,-.026803892,.010958142
-.011383783,.010396129,-.031759821,.2735157,-.031759821,.0089922538
.0058258558,.014549196,-.022690043,.68884379,-.022690043,.034341756
.010808358,.018365957,-.025188254,.55619699,-.025188254,.046804972
-.012004615,.01645297,-.044251844,.46561509,-.044251844,.020242613
.00067575567,.01526619,-.029245427,.96469331,-.029245427,.030596938
-.039548386,.029686367,-.097732596,.18279217,-.097732596,.018635824
