coefficient,std_error,t_statistic,p_value,lower_ci,upper_ci
-.014510005,.074202888,-.159945,.84496629,-.159945,.13092498
-.006474576,.072530113,-.14863098,.92886937,-.14863098,.13568182
.025601206,.079017341,-.12926994,.745942,-.12926994,.18047234
.034519628,.078426376,-.11919324,.65982604,-.11919324,.1882325
.062120408,.077976651,-.090711027,.42565206,-.090711027,.21495184
.036430426,.072846234,-.10634556,.61700439,-.10634556,.17920642
.0039327624,.067013294,-.12741087,.95320195,-.12741087,.13527641
.044771608,.068477884,-.089442573,.51323342,-.089442573,.17898579
.10008776,.060233247,-.01796723,.096579008,-.01796723,.21814276
.026967004,.07630606,-.12259012,.72378427,-.12259012,.17652413
.13301368,.075454339,-.014874105,.077928029,-.014874105,.28090146
0,,,,,
.15636344,.067131467,.024788186,.01984782,.024788186,.28793871
.11981905,.063690096,-.0050112465,.059933532,-.0050112465,.24464935
.091660522,.060957313,-.027813612,.13266279,-.027813612,.21113466
.078624643,.06002643,-.039024998,.19025208,-.039024998,.1962743
.096369036,.081438087,-.063246682,.23667401,-.063246682,.25598475
-.014240832,.080983572,-.17296572,.86041301,-.17296572,.14448406
.072196424,.071629278,-.068194389,.31349394,-.068194389,.21258724
.025283381,.074670091,-.12106731,.73491019,-.12106731,.17163408
.078559771,.1056526,-.12851553,.4571386,-.12851553,.28563505
.033678956,.13324003,-.2274667,.80044669,-.2274667,.29482463
-.10547595,.13337213,-.36688051,.42903766,-.36688051,.15592863
-.017403252,.092124581,-.19796412,.8501634,-.19796412,.16315761
.019120438,.48670572,-.93480527,.96866286,-.93480527,.97304612
