coefficient,std_error,t_statistic,p_value,lower_ci,upper_ci
.031978592,.059280254,-.08420857,.58957803,-.08420857,.14816575
-.039990298,.046177465,-.13049646,.38648289,-.13049646,.050515868
-.057433739,.050752249,-.15690632,.25778192,-.15690632,.042038836
-.031723462,.062467549,-.15415761,.61156619,-.15415761,.090710677
-.011030418,.050410431,-.10983305,.82679635,-.10983305,.087772213
.059780613,.054349951,-.046743333,.27136686,-.046743333,.16630456
-.058322649,.05841694,-.17281775,.31809226,-.17281775,.056172445
-.059043698,.05634471,-.1694773,.29468405,-.1694773,.051389903
.0029460357,.05258609,-.10012081,.9553234,-.10012081,.10601288
-.024606498,.057060529,-.13644308,.6662975,-.13644308,.087230086
-.07451494,.059427727,-.19099115,.20988746,-.19099115,.041961268
0,,,,,
.04214637,.06141679,-.078228325,.49256474,-.078228325,.16252106
-.017716028,.052179769,-.11998649,.73421872,-.11998649,.084554434
.010668534,.047766276,-.082951643,.82326412,-.082951643,.10428871
.049551129,.062440388,-.072829783,.42744291,-.072829783,.17193204
.010223741,.05196603,-.091627806,.84403187,-.091627806,.11207528
.029145133,.052285586,-.073332734,.57723922,-.073332734,.131623
-.08450897,.053597521,-.18955818,.11485703,-.18955818,.020540243
.0047562122,.073161483,-.13863766,.94816619,-.13863766,.14815009
-.0075549041,.063709915,-.13242404,.90560585,-.13242404,.11731423
-.051246919,.070682034,-.18978116,.46843079,-.18978116,.087287314
-.075791761,.06183118,-.19697864,.22027941,-.19697864,.045395121
.0073191253,.077720031,-.14500932,.92497176,-.14500932,.15964758
.000068550486,.049701933,-.097345449,.99889952,-.097345449,.097482555
